Country,Country Code,Rwanda,Year,Number of Records,Proportion of seats held by women in national parliaments (%),Proportion of seats held by women in national parliaments (%) (copy),Random Noise,World %,Year Jittered,Year Jittered (copy)
Albania,ALB,No,1999,1,5%,5.2%,0.843237761,,1999.307947021,1999.151183762
Albania,ALB,No,2000,1,5%,5.2%,0.132700511,,1999.882885791,2000.216184384
Albania,ALB,No,2001,1,6%,5.7%,0.440776169,,2001.242057847,2001.231188061
Albania,ALB,No,2002,1,6%,5.7%,0.609304726,,2001.886583408,2002.329819276
Albania,ALB,No,2003,1,6%,5.7%,0.897918355,,2002.750505662,2003.253560445
Albania,ALB,No,2004,1,6%,6.4%,0.186573110,,2004.284438547,2004.242732967
Albania,ALB,No,2005,1,7%,7.1%,0.492773424,,2005.003045803,2005.082921947
Albania,ALB,No,2006,1,7%,7.1%,0.686454602,,2005.966598598,2006.168255738
Albania,ALB,No,2007,1,7%,7.1%,0.508058943,,2006.794626562,2007.268026552
Albania,ALB,No,2008,1,7%,7.1%,0.826253033,,2008.259660757,2008.170689623
Albania,ALB,No,2009,1,16%,16.4%,0.504254508,,2008.978673170,2009.064433096
Albania,ALB,No,2010,1,16%,16.4%,0.988263190,,2010.322585996,2010.190980436
Albania,ALB,No,2011,1,16%,15.7%,0.825894013,,2010.849807381,2011.295690651
Albania,ALB,No,2012,1,16%,15.7%,0.200453819,,2012.255893962,2012.065754298
Albania,ALB,No,2013,1,18%,17.9%,0.499885193,,2013.312666516,2013.252189209
Albania,ALB,No,2014,1,20%,20.0%,0.037361233,,2014.208569980,2014.331832198
Albania,ALB,No,2015,1,21%,20.7%,0.446756346,,2015.171898665,2015.159460641
Albania,ALB,No,2016,1,23%,22.9%,0.791943887,,2016.000180647,2016.226596644
Albania,ALB,No,2017,1,28%,27.9%,0.169313887,,2016.673565628,2017.082887437
Albania,ALB,No,2018,1,28%,27.9%,0.269735446,,2018.256037220,2018.237384931
Albania,ALB,No,2019,1,30%,29.5%,0.008958780,,2019.052368631,2019.313241752
Algeria,DZA,No,1997,1,3%,3.2%,0.497638291,,1997.301516785,1997.244475310
Algeria,DZA,No,1998,1,3%,3.2%,0.072551847,,1997.852588580,1998.217016155
Algeria,DZA,No,1999,1,3%,3.2%,0.458320432,,1998.672327946,1999.076036698
Algeria,DZA,No,2000,1,3%,3.4%,0.722829228,,2000.191966482,2000.230766351
Algeria,DZA,No,2001,1,3%,3.4%,0.934898836,,2001.091977975,2001.279794920
Algeria,DZA,No,2002,1,6%,6.2%,0.226697945,,2002.287074357,2002.060877831
Algeria,DZA,No,2003,1,6%,6.2%,0.689676295,,2003.125998706,2003.200183209
Algeria,DZA,No,2004,1,6%,6.2%,0.869892526,,2004.333014693,2004.326933127
Algeria,DZA,No,2005,1,6%,6.2%,0.217349269,,2005.054826358,2005.283698661
Algeria,DZA,No,2006,1,6%,6.2%,0.154986283,,2006.145321609,2006.311118925
Algeria,DZA,No,2007,1,8%,7.7%,0.310188231,,2006.924407519,2007.200965991
Algeria,DZA,No,2008,1,8%,7.7%,0.968100966,,2008.160077652,2008.161651210
Algeria,DZA,No,2009,1,8%,7.7%,0.566714608,,2009.220202474,2009.264625694
Algeria,DZA,No,2010,1,8%,7.7%,0.907996695,,2009.961198701,2010.322123951
Algeria,DZA,No,2011,1,8%,8.0%,0.610110420,,2010.672736530,2011.020487608
Algeria,DZA,No,2012,1,32%,31.6%,0.789101596,,2012.257794086,2012.051416465
Algeria,DZA,No,2013,1,32%,31.6%,0.859502418,,2012.676282088,2013.295343210
Algeria,DZA,No,2014,1,32%,31.6%,0.473946880,,2014.009045818,2014.261123033
Algeria,DZA,No,2015,1,32%,31.6%,0.644614475,,2014.892255737,2015.152682267
Algeria,DZA,No,2016,1,32%,31.6%,0.228259532,,2015.880166551,2016.034590067
Algeria,DZA,No,2017,1,26%,25.8%,0.131426477,,2017.077050711,2017.328777555
Algeria,DZA,No,2018,1,26%,25.8%,0.062056653,,2018.232909267,2018.137925390
Algeria,DZA,No,2019,1,26%,25.8%,0.687647125,,2018.701449904,2019.324071192
Andorra,AND,No,1997,1,7%,7.1%,0.456673392,,1997.199989153,1997.249114767
Andorra,AND,No,1998,1,7%,7.1%,0.279860534,,1998.112091432,1998.293643747
Andorra,AND,No,1999,1,7%,7.1%,0.483115350,,1999.045066306,1999.044790019
Andorra,AND,No,2000,1,7%,7.1%,0.283033730,,1999.694552072,2000.062391978
Andorra,AND,No,2001,1,14%,14.3%,0.302568856,,2001.221263805,2001.179159588
Andorra,AND,No,2002,1,14%,14.3%,0.857749823,,2002.091124325,2002.188668071
Andorra,AND,No,2003,1,14%,14.3%,0.374113510,,2003.017706873,2003.106820030
Andorra,AND,No,2004,1,14%,14.3%,0.199768588,,2004.079205428,2004.016465167
Andorra,AND,No,2005,1,29%,28.6%,0.215992507,,2005.033225833,2005.006196658
Andorra,AND,No,2006,1,29%,28.6%,0.055605092,,2006.076216026,2006.298693808
Andorra,AND,No,2007,1,29%,28.6%,0.077360239,,2007.192462323,2007.210017986
Andorra,AND,No,2008,1,25%,25.0%,0.785581800,,2007.726437386,2008.062629243
Andorra,AND,No,2009,1,36%,35.7%,0.669639604,,2008.778013858,2009.036163692
Andorra,AND,No,2010,1,36%,35.7%,0.434697913,,2009.974344171,2010.161837662
Andorra,AND,No,2011,1,50%,50.0%,0.932175815,,2010.709603019,2011.139892635
Andorra,AND,No,2012,1,50%,50.0%,0.500503630,,2011.702046618,2012.197050349
Andorra,AND,No,2013,1,50%,50.0%,0.158058716,,2013.281837933,2013.040476315
Andorra,AND,No,2014,1,50%,50.0%,0.804990567,,2013.714362810,2014.063826647
Andorra,AND,No,2015,1,39%,39.3%,0.303696014,,2015.003043528,2015.296142105
Andorra,AND,No,2016,1,32%,32.1%,0.821986729,,2015.795389920,2016.295976296
Andorra,AND,No,2017,1,32%,32.1%,0.854565446,,2017.036970226,2017.277552270
Andorra,AND,No,2018,1,32%,32.1%,0.652511604,,2018.140202408,2018.098547235
Andorra,AND,No,2019,1,46%,46.4%,0.610875376,,2018.733471771,2019.326751359
Angola,AGO,No,1997,1,10%,9.5%,0.875155760,,1997.245144885,1997.058406557
Angola,AGO,No,1998,1,15%,15.5%,0.813603321,,1998.073785312,1998.278006256
Angola,AGO,No,1999,1,15%,15.5%,0.446109520,,1998.864140419,1999.046685420
Angola,AGO,No,2000,1,15%,15.5%,0.607441246,,2000.072895488,2000.276690805
Angola,AGO,No,2001,1,15%,15.5%,0.895714466,,2001.06166067,2001.218481753
Angola,AGO,No,2002,1,15%,15.5%,0.660642772,,2002.291330562,2002.182362825
Angola,AGO,No,2003,1,15%,15.5%,0.174368411,,2002.862312855,2003.297391198
Angola,AGO,No,2004,1,15%,15.0%,0.097687287,,2003.690281452,2004.187089534
Angola,AGO,No,2005,1,15%,15.0%,0.044662380,,2005.132005360,2005.277358362
Angola,AGO,No,2006,1,15%,15.0%,0.179977991,,2005.865532418,2006.103690978
Angola,AGO,No,2007,1,15%,15.0%,0.395116866,,2006.703323618,2007.105585705
Angola,AGO,No,2008,1,37%,37.3%,0.173632862,,2007.812732300,2008.115535680
Angola,AGO,No,2009,1,39%,38.6%,0.957150003,,2009.218548507,2009.001037063
Angola,AGO,No,2010,1,39%,38.6%,0.543959833,,2009.842327996,2010.200807035
Angola,AGO,No,2011,1,38%,38.2%,0.998710744,,2011.113075744,2011.017821365
Angola,AGO,No,2012,1,34%,34.1%,0.772951348,,2011.686633226,2012.017237204
Angola,AGO,No,2013,1,34%,34.1%,0.898150906,,2013.073064276,2013.294870009
Angola,AGO,No,2014,1,37%,36.8%,0.827464909,,2013.776290888,2014.065646702
