id,pid,pname,label,size,change,discretion
leaf-136,branch-38,Financial services sales occupations,Other industries,82,0.023,discretionary
leaf-130,branch-36,Insurance sales occupations,Other industries,181,0.03,discretionary
leaf-171,branch-57,Waiter/waitress,Other industries,954,0.004,discretionary
leaf-132,branch-37,Real estate sales occupations,Other industries,1178,0.018,discretionary
leaf-76,branch-13,Dentists,Other industries,1229,0.103,discretionary
leaf-96,branch-23,Recreation workers,Other industries,2152,0.011,discretionary
leaf-29,branch-1,Managers,Hotels and motels,2541,0.012,discretionary
leaf-46,branch-1,Managers,"Guided missiles, space vehicles and parts",2547,0.042,discretionary
leaf-48,branch-1,Managers,Industrial and miscellaneous chemicals,2554,0.044,discretionary
leaf-42,branch-1,Managers,Personnel supply services,2602,0.036,discretionary
leaf-47,branch-1,Managers,Theaters and motion pictures,2638,0.045,discretionary
leaf-115,branch-30,Health Technologist,Health services,2692,0.006,discretionary
leaf-15,branch-0,Chief executives and public administrators,"Electrical machinery, equipment and supplies",2694,0.158,discretionary
leaf-123,branch-35,Supervisors and proprietors of sales jobs,Grocery stores,2712,0.005,discretionary
leaf-11,branch-0,Chief executives and public administrators,Business services,2719,0.115,discretionary
leaf-142,branch-40,Sales,Management and public relations services,2739,0.043,discretionary
leaf-105,branch-26,Writer,"Printing, publishing and allied industries (except newspapers)",2809,0.035,discretionary
leaf-139,branch-40,Sales,"Drugs, chemicals and allied products",2824,0.027,discretionary
leaf-12,branch-0,Chief executives and public administrators,Credit agencies,2836,0.144,discretionary
leaf-13,branch-0,Chief executives and public administrators,Advertising,2853,0.156,discretionary
leaf-125,branch-35,Supervisors and proprietors of sales jobs,Apparel and accessory stores (except shoe),2910,0.011,discretionary
leaf-14,branch-0,Chief executives and public administrators,Telephone communications,2926,0.164,discretionary
leaf-85,branch-17,Therapist,Hospitals,2943,0.01,discretionary
leaf-189,branch-71,Construction,All industries,2952,0.002,discretionary
branch-71,nytg-treeMap-trunk,all,Construction,2952,null,null
leaf-144,branch-41,Retail sales clerks,Department stores,2958,0.004,discretionary
leaf-184,branch-66,Farm managers (except horticultural farms),All industries,3010,0.019,discretionary
branch-66,nytg-treeMap-trunk,all,Farm managers (except horticultural farms),3010,null,null
branch-19,nytg-treeMap-trunk,all,Librarian/Curator,3011,null,null
leaf-91,branch-19,Librarian/Curator,All industries,3011,0.012,discretionary
leaf-45,branch-1,Managers,Offices and clinics of physicians,3021,0.046,discretionary
leaf-117,branch-32,Airplane pilots and navigators,All industries,3054,0.021,discretionary
branch-32,nytg-treeMap-trunk,all,Airplane pilots and navigators,3054,null,null
branch-76,nytg-treeMap-trunk,all,Fabricators and Operators,3079,null,null
leaf-194,branch-76,Fabricators and Operators,All industries,3079,0.001,discretionary
leaf-149,branch-42,Cashiers,Grocery stores,3114,0.003,discretionary
leaf-155,branch-45,Secretaries,Offices and clinics of physicians,3125,0.019,discretionary
leaf-112,branch-29,"Athletes, sports instructors and officials",Miscellaneous professional and related services ,3130,0.064,discretionary
leaf-49,branch-1,Managers,Oil and gas extraction,3133,0.057,discretionary
leaf-127,branch-35,Supervisors and proprietors of sales jobs,Motor vehicle dealers,3160,0.017,discretionary
leaf-50,branch-1,Managers,Computers and related equipment,3162,0.057,discretionary
branch-67,nytg-treeMap-trunk,all,Farm workers,3180,null,null
leaf-185,branch-67,Farm workers,All industries,3180,0.003,discretionary
leaf-124,branch-35,Supervisors and proprietors of sales jobs,Miscellaneous retail stores,3216,0.012,discretionary
branch-72,nytg-treeMap-trunk,all,Carpenters,3235,null,null
leaf-190,branch-72,Carpenters,All industries,3235,0.002,discretionary
leaf-41,branch-1,Managers,Radio and television broadcasting and cable,3250,0.043,discretionary
leaf-102,branch-25,Lawyers,"Security, commodity brokerage and investment companies",3251,0.293,discretionary
branch-54,nytg-treeMap-trunk,all,"Housekeepers, maids, butlers, stewards and lodging quarters cleaners",3263,null,null
leaf-164,branch-54,"Housekeepers, maids, butlers, stewards and lodging quarters cleaners",All industries,3263,0.002,discretionary
leaf-38,branch-1,Managers,Services incidental to transportation,3273,0.023,discretionary
branch-77,nytg-treeMap-trunk,all,Motor Vehicle Operators,3330,null,null
leaf-195,branch-77,Motor Vehicle Operators,All industries,3330,0.002,discretionary
leaf-198,branch-80,"Freight, Stock and Material Handlers",All industries,3450,0.003,discretionary
branch-80,nytg-treeMap-trunk,all,"Freight, Stock and Material Handlers",3450,null,null
leaf-154,branch-45,Secretaries,All construction ,3467,0.012,discretionary
branch-51,nytg-treeMap-trunk,all,"Insurance adjusters, examiners and investigators",3481,null,null
leaf-161,branch-51,"Insurance adjusters, examiners and investigators",All industries,3481,0.005,discretionary
leaf-9,branch-0,Chief executives and public administrators,Health services,3519,0.136,discretionary
leaf-110,branch-29,"Athletes, sports instructors and officials",Other industries,3525,0.022,discretionary
leaf-169,branch-56,Food Service,Other industries,3550,0.003,discretionary
leaf-177,branch-62,Personal Service Occupation,Miscellaneous entertainment and recreation services ,3556,0.009,discretionary
leaf-181,branch-64,Child care workers,Other industries,3583,0.008,discretionary
leaf-68,branch-10,Natural Scientist,"Research, development and testing services",3633,0.026,discretionary
leaf-10,branch-0,Chief executives and public administrators,"Engineering, architectural and surveying services",3676,0.151,discretionary
leaf-44,branch-1,Managers,"Accounting, auditing and bookkeeping services",3693,0.052,discretionary
leaf-111,branch-29,"Athletes, sports instructors and officials",Miscellaneous entertainment and recreation services ,3699,0.031,discretionary
leaf-147,branch-41,Retail sales clerks,"Radio, TV and computer stores",3763,0.014,discretionary
leaf-81,branch-15,Registered nurses,Offices and clinics of physicians,3769,0.025,discretionary
leaf-97,branch-23,Recreation workers,Lodging places (except hotels and motels),3770,0.059,discretionary
leaf-134,branch-38,Financial services sales occupations,Credit agencies,3844,0.044,discretionary
branch-24,nytg-treeMap-trunk,all,Clergy and religious workers,3885,null,null
leaf-98,branch-24,Clergy and religious workers,All industries,3885,0.006,discretionary
leaf-43,branch-1,Managers,"Medical, dental and optical instruments and supplies",3921,0.054,discretionary
leaf-146,branch-41,Retail sales clerks,Miscellaneous retail stores,3930,0.01,discretionary
leaf-77,branch-14,Veterinarians,All industries,3960,0.048,discretionary
branch-14,nytg-treeMap-trunk,all,Veterinarians,3960,null,null
leaf-140,branch-40,Sales,Professional and commercial equipment and supplies,4023,0.039,discretionary
leaf-121,branch-34,"Legal assistants, paralegals and legal support",Other industries,4054,0.014,discretionary
leaf-150,branch-42,Cashiers,Eating and drinking places,4091,0.004,discretionary
leaf-178,branch-62,Personal Service Occupation,Eating and drinking places,4141,0.013,discretionary
leaf-156,branch-46,Information Clerk,All industries,4173,0.006,discretionary
branch-46,nytg-treeMap-trunk,all,Information Clerk,4173,null,null
leaf-165,branch-55,"Police, Fire and Protective Service","Justice, public order and safety",4336,0.002,discretionary
branch-63,nytg-treeMap-trunk,all,Hairdressers and cosmetologists,4502,null,null
leaf-179,branch-63,Hairdressers and cosmetologists,All industries,4502,0.004,discretionary
leaf-39,branch-1,Managers,"Research, development and testing services",4517,0.045,discretionary
leaf-35,branch-1,Managers,Telephone communications,4557,0.029,discretionary
leaf-104,branch-26,Writer,Miscellaneous professional and related services ,4575,0.049,discretionary
leaf-73,branch-11,Physicians,Colleges and universities,4692,0.19,discretionary
leaf-173,branch-59,Health Aides,All industries,4699,0.004,discretionary
branch-59,nytg-treeMap-trunk,all,Health Aides,4699,null,null
branch-12,nytg-treeMap-trunk,all,Doctor,4706,null,null
leaf-74,branch-12,Doctor,All industries,4706,0.036,discretionary
leaf-3,branch-0,Chief executives and public administrators,Banking,4711,0.084,discretionary
leaf-89,branch-18,Teacher,Child day care services,4716,0.007,discretionary
leaf-114,branch-30,Health Technologist,Hospitals,4729,0.006,discretionary
leaf-92,branch-20,"Economists, market researchers and survey researchers",All industries,4743,0.041,discretionary
branch-20,nytg-treeMap-trunk,all,"Economists, market researchers and survey researchers",4743,null,null
leaf-34,branch-1,Managers,"Printing, publishing and allied industries (except newspapers)",4744,0.03,discretionary
leaf-72,branch-11,Physicians,Other industries,4750,0.133,discretionary
leaf-152,branch-44,Office,All industries,4750,0.006,discretionary
branch-44,nytg-treeMap-trunk,all,Office,4750,null,null
leaf-141,branch-40,Sales,Computer and data processing services,4842,0.051,discretionary
leaf-135,branch-38,Financial services sales occupations,Banking,4902,0.077,discretionary
leaf-95,branch-23,Recreation workers,Miscellaneous entertainment and recreation services ,5032,0.021,discretionary
leaf-180,branch-64,Child care workers,Child day care services,5071,0.005,discretionary
leaf-101,branch-25,Lawyers,"Justice, public order and safety",5094,0.033,discretionary
leaf-80,branch-15,Registered nurses,Health services,5185,0.012,discretionary
leaf-191,branch-73,Production supervisors or foremen,All industries,5239,0.005,discretionary
branch-73,nytg-treeMap-trunk,all,Production supervisors or foremen,5239,null,null
