Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,33370804,34413603,35383028,36296111,37171922,38041757,38928341
"Population, total",SP.POP.TOTL,Albania,ALB,2889104,2880703,2876101,2873457,2866376,2854191,2837743
"Population, total",SP.POP.TOTL,Algeria,DZA,38923688,39728020,40551398,41389174,42228415,43053054,43851043
"Population, total",SP.POP.TOTL,American Samoa,ASM,55791,55806,55739,55617,55461,55312,55197
"Population, total",SP.POP.TOTL,Andorra,AND,79213,77993,77295,76997,77008,77146,77265
"Population, total",SP.POP.TOTL,Angola,AGO,26941773,27884380,28842482,29816769,30809787,31825299,32866268
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,92562,93571,94520,95425,96282,97115,97928
"Population, total",SP.POP.TOTL,Argentina,ARG,42669500,43131966,43590368,44044811,44494502,44938712,45376763
"Population, total",SP.POP.TOTL,Armenia,ARM,2912403,2925559,2936147,2944789,2951741,2957728,2963234
"Population, total",SP.POP.TOTL,Aruba,ABW,103776,104339,104865,105361,105846,106310,106766
"Population, total",SP.POP.TOTL,Australia,AUS,23475686,23815995,24190907,24601860,24982688,25365745,25687041
"Population, total",SP.POP.TOTL,Austria,AUT,8546356,8642699,8736668,8797566,8840521,8879920,8917205
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9535079,9649341,9757812,9854033,9939771,10024283,10110116
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,370625,374200,377923,381749,385635,389486,393248
"Population, total",SP.POP.TOTL,Bahrain,BHR,1336073,1371853,1425793,1494077,1569440,1641164,1701583
"Population, total",SP.POP.TOTL,Bangladesh,BGD,154517385,156256287,157977151,159685421,161376713,163046173,164689383
"Population, total",SP.POP.TOTL,Barbados,BRB,284825,285327,285798,286229,286640,287021,287371
"Population, total",SP.POP.TOTL,Belarus,BLR,9474511,9489616,9501534,9498264,9483499,9417849,9398861
"Population, total",SP.POP.TOTL,Belgium,BEL,11209057,11274196,11331422,11375158,11427054,11488980,11555997
"Population, total",SP.POP.TOTL,Belize,BLZ,353366,360926,368399,375775,383071,390351,397621
"Population, total",SP.POP.TOTL,Benin,BEN,10286839,10575962,10872072,11175192,11485035,11801151,12123198
"Population, total",SP.POP.TOTL,Bermuda,BMU,65138,65237,64554,63873,63919,63913,63903
"Population, total",SP.POP.TOTL,Bhutan,BTN,719053,727885,736706,745563,754396,763094,771612
"Population, total",SP.POP.TOTL,Bolivia,BOL,10706517,10869732,11031822,11192853,11353140,11513102,11673029
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3482106,3429362,3386263,3351534,3323929,3300998,3280815
"Population, total",SP.POP.TOTL,Botswana,BWA,2088619,2120716,2159925,2205076,2254067,2303703,2351625
"Population, total",SP.POP.TOTL,Brazil,BRA,202763744,204471759,206163056,207833825,209469320,211049519,212559409
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,28985,29148,29355,29567,29795,30033,30237
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,409778,414914,419791,424481,428960,433296,437483
