"region","age_group","pop","pop_dist_pct","code"
"New South Wales","15 to 24",1005900,16,"NSW"
"New South Wales","25 to 34",1121900,17.8,"NSW"
"New South Wales","35 to 44",1028300,16.3,"NSW"
"New South Wales","45 to 54",993100,15.8,"NSW"
"New South Wales","55 to 64",910900,14.5,"NSW"
"New South Wales","65 and over",1239900,19.7,"NSW"
"Victoria","15 to 24",804500,16.2,"VIC"
"Victoria","25 to 34",939500,18.9,"VIC"
"Victoria","35 to 44",827600,16.6,"VIC"
"Victoria","45 to 54",792100,15.9,"VIC"
"Victoria","55 to 64",689200,13.8,"VIC"
"Victoria","65 and over",925000,18.6,"VIC"
"Queensland","15 to 24",647700,16.6,"QLD"
"Queensland","25 to 34",682500,17.5,"QLD"
"Queensland","35 to 44",642900,16.5,"QLD"
"Queensland","45 to 54",638800,16.4,"QLD"
"Queensland","55 to 64",558200,14.3,"QLD"
"Queensland","65 and over",720800,18.5,"QLD"
"South Australia","15 to 24",216700,15.4,"SA"
"South Australia","25 to 34",229400,16.3,"SA"
"South Australia","35 to 44",211300,15,"SA"
"South Australia","45 to 54",228100,16.2,"SA"
"South Australia","55 to 64",215000,15.3,"SA"
"South Australia","65 and over",306200,21.8,"SA"
"Western Australia","15 to 24",337900,16,"WA"
"Western Australia","25 to 34",415600,19.6,"WA"
"Western Australia","35 to 44",363300,17.2,"WA"
"Western Australia","45 to 54",347900,16.4,"WA"
"Western Australia","55 to 64",294600,13.9,"WA"
"Western Australia","65 and over",357700,16.9,"WA"
"Tasmania","15 to 24",65400,15.4,"TAS"
"Tasmania","25 to 34",58400,13.7,"TAS"
"Tasmania","35 to 44",60600,14.2,"TAS"
"Tasmania","45 to 54",70400,16.5,"TAS"
"Tasmania","55 to 64",72300,17,"TAS"
"Tasmania","65 and over",98500,23.1,"TAS"
"Northern Territory","15 to 24",32900,17.6,"NT"
"Northern Territory","25 to 34",43000,23,"NT"
"Northern Territory","35 to 44",36200,19.4,"NT"
"Northern Territory","45 to 54",31600,16.9,"NT"
"Northern Territory","55 to 64",24800,13.3,"NT"
"Northern Territory","65 and over",18100,9.7,"NT"
"Australian Capital Territory","15 to 24",52500,16.5,"ACT"
"Australian Capital Territory","25 to 34",66800,21,"ACT"
"Australian Capital Territory","35 to 44",56500,17.8,"ACT"
"Australian Capital Territory","45 to 54",49700,15.7,"ACT"
"Australian Capital Territory","55 to 64",41800,13.2,"ACT"
"Australian Capital Territory","65 and over",50100,15.8,"ACT"
