NID,TYPE,LABEL,SYMBOL,COLOR,SOURCE,STXT
sdg.a.res.71.313a,sdg_framework,sdg framework,sdg-wheel,#666666,a.res.71.313 annex,sdg framework
sdg.g01,sdg_goal,no poverty,sdg-goal-1,#ea1c2c,a.res.71.313 annex,goal 1: no poverty
sdg.g02,sdg_goal,zero hunger,sdg-goal-2,#d19f29,a.res.71.313 annex,goal 2: zero hunger
sdg.g03,sdg_goal,good health and well-being,sdg-goal-3,#2c9a47,a.res.71.313 annex,goal 3: good health and well-being for people
sdg.g04,sdg_goal,quality education,sdg-goal-4,#c21f33,a.res.71.313 annex,goal 4: quality education
sdg.g05,sdg_goal,gender equality,sdg-goal-5,#ef402a,a.res.71.313 annex,goal 5: gender equality
sdg.g06,sdg_goal,clean water and sanitation,sdg-goal-6,#00add8,a.res.71.313 annex,goal 6: clean water and sanitation
sdg.g07,sdg_goal,affordable and clean energy,sdg-goal-7,#fdb713,a.res.71.313 annex,goal 7: affordable and clean energy
sdg.g08,sdg_goal,decent work and economic growth,sdg-goal-8,#8f1737,a.res.71.313 annex,goal 8: decent work and economic growth
sdg.g09,sdg_goal,"industry, innovation, and infrastructure",sdg-goal-9,#f36e24,a.res.71.313 annex,"goal 9: industry, innovation, and infrastructure"
sdg.g10,sdg_goal,reducing inequalities,sdg-goal-10,#e01a83,a.res.71.313 annex,goal 10: reducing inequalities
sdg.g11,sdg_goal,sustainable cities and communities,sdg-goal-11,#f99d25,a.res.71.313 annex,goal 11: sustainable cities and communities
sdg.g12,sdg_goal,responsible consumption and production,sdg-goal-12,#cd8c2a,a.res.71.313 annex,goal 12: responsible consumption and production
sdg.g13,sdg_goal,climate action,sdg-goal-13,#48773d,a.res.71.313 annex,goal 13: climate action
sdg.g14,sdg_goal,life below water,sdg-goal-14,#007dbb,a.res.71.313 annex,goal 14: life below water
sdg.g15,sdg_goal,life on land,sdg-goal-15,#40ae49,a.res.71.313 annex,goal 15: life on land
sdg.g16,sdg_goal,"peace, justice and strong institutions",sdg-goal-16,#00558a,a.res.71.313 annex,"goal 16: peace, justice and strong institutions"
sdg.g17,sdg_goal,partnerships for the goals,sdg-goal-17,#1a3668,a.res.71.313 annex,goal 17: partnerships for the goals
sdg.g01.t0101,sdg_target,eradicate extreme poverty,sdg_target,#ea1c2c,a.res.71.313 annex,1.1
sdg.g01.t0102,sdg_target,reduce living in poverty,sdg_target,#ea1c2c,a.res.71.313 annex,1.2
sdg.g01.t0103,sdg_target,social protection systems,sdg_target,#ea1c2c,a.res.71.313 annex,1.3
sdg.g01.t0104,sdg_target,equal rights to economic resources,sdg_target,#ea1c2c,a.res.71.313 annex,1.4
sdg.g01.t0105,sdg_target,climate-related events and disasters,sdg_target,#ea1c2c,a.res.71.313 annex,1.5
sdg.g01.t010a,sdg_target,mobilization of resources,sdg_target,#ea1c2c,a.res.71.313 annex,1.a
sdg.g01.t010b,sdg_target,policy frameworks,sdg_target,#ea1c2c,a.res.71.313 annex,1.b
sdg.g02.t0201,sdg_target,end hunger,sdg_target,#d19f29,a.res.71.313 annex,2.1
sdg.g02.t0202,sdg_target,end malnutrition,sdg_target,#d19f29,a.res.71.313 annex,2.2
sdg.g02.t0203,sdg_target,agricultural productivity,sdg_target,#d19f29,a.res.71.313 annex,2.3
sdg.g02.t0204,sdg_target,sustainable food production,sdg_target,#d19f29,a.res.71.313 annex,2.4
sdg.g02.t0205,sdg_target,genetic diversity of agriculture,sdg_target,#d19f29,a.res.71.313 annex,2.5
sdg.g02.t020a,sdg_target,investment in rural infrastructure,sdg_target,#d19f29,a.res.71.313 annex,2.a
