Entity,Code,Year,Annual CO2 emissions (per capita),GDP per capita,145446-annotations,"Total population (Gapminder, HYDE & UN)",Continent
Abkhazia,OWID_ABK,2015,,,,,Asia
Afghanistan,AFG,1949,0.0019,,,7624058,
Afghanistan,AFG,1950,0.0109,1156,,7752117,
Afghanistan,AFG,1951,0.0117,1170,,7840151,
Afghanistan,AFG,1952,0.0115,1189,,7935996,
Afghanistan,AFG,1953,0.0132,1240,,8039684,
Afghanistan,AFG,1954,0.013,1245,,8151316,
Afghanistan,AFG,1955,0.0186,1246,,8270992,
Afghanistan,AFG,1956,0.0218,1278,,8398873,
Afghanistan,AFG,1957,0.0343,1253,,8535157,
Afghanistan,AFG,1958,0.038,1298,,8680097,
Afghanistan,AFG,1959,0.0435,1307,,8833947,
Afghanistan,AFG,1960,0.046,1326,,8996967,
Afghanistan,AFG,1961,0.0535,1309,,9169406,
Afghanistan,AFG,1962,0.0736,1302,,9351442,
Afghanistan,AFG,1963,0.0741,1298,,9543200,
Afghanistan,AFG,1964,0.0861,1291,,9744772,
Afghanistan,AFG,1965,0.1011,1290,,9956318,
Afghanistan,AFG,1966,0.1072,1272,,10174840,
Afghanistan,AFG,1967,0.1233,1277,,10399936,
Afghanistan,AFG,1968,0.115,1290,,10637064,
Afghanistan,AFG,1969,0.0864,1278,,10893772,
Afghanistan,AFG,1970,0.1495,1272,,11173654,
Afghanistan,AFG,1971,0.165,1237,,11475450,
Afghanistan,AFG,1972,0.1298,1007,,11791222,
Afghanistan,AFG,1973,0.1351,1011,,12108963,
Afghanistan,AFG,1974,0.1541,1039,,12412960,
Afghanistan,AFG,1975,0.1672,1074,,12689164,
Afghanistan,AFG,1976,0.153,1105,,12943093,
Afghanistan,AFG,1977,0.181,1022,,13171294,
Afghanistan,AFG,1978,0.1614,1070,,13341199,
Afghanistan,AFG,1979,0.1665,1023,,13411060,
Afghanistan,AFG,1980,0.1315,1019,,13356500,
Afghanistan,AFG,1981,0.1502,1144,,13171679,
Afghanistan,AFG,1982,0.1626,1270,,12882518,
Afghanistan,AFG,1983,0.201,1347,,12537732,
Afghanistan,AFG,1984,0.2312,1337,,12204306,
Afghanistan,AFG,1985,0.2933,1304,,11938204,
Afghanistan,AFG,1986,0.267,1344,,11736177,
Afghanistan,AFG,1987,0.2683,1211,,11604538,
Afghanistan,AFG,1988,0.2459,1101,,11618008,
Afghanistan,AFG,1989,0.233,999,,11868873,
Afghanistan,AFG,1990,0.2097,963,,12412311,
Afghanistan,AFG,1991,0.1825,881.1704,,13299016,
Afghanistan,AFG,1992,0.0952,843.8753,,14485543,
Afghanistan,AFG,1993,0.0843,578.4027,,15816601,
Afghanistan,AFG,1994,0.0751,428.4246,,17075728,
Afghanistan,AFG,1995,0.0679,632.9404,,18110662,
Afghanistan,AFG,1996,0.0618,600.1753,,18853444,
Afghanistan,AFG,1997,0.056,570.5981,,19357126,
Afghanistan,AFG,1998,0.0521,545.0388,,19737770,
Afghanistan,AFG,1999,0.0401,518.6579,,20170847,
Afghanistan,AFG,2000,0.0365,502.3727,,20779957,
Afghanistan,AFG,2001,0.0369,489.682,,21606992,
Afghanistan,AFG,2002,0.0465,796.8166,,22600774,
Afghanistan,AFG,2003,0.0501,842.8052,,23680871,
Afghanistan,AFG,2004,0.036,869.0393,,24726689,
Afghanistan,AFG,2005,0.0508,964.4081,,25654274,
Afghanistan,AFG,2006,0.0619,1057.0966,,26433058,
Afghanistan,AFG,2007,0.0837,1259.9967,,27100542,
Afghanistan,AFG,2008,0.1515,1319.6074,,27722281,
Afghanistan,AFG,2009,0.2374,1557.3206,,28394806,
Afghanistan,AFG,2010,0.2877,1627.6716,,29185511,
Afghanistan,AFG,2011,0.402,1792,,30117411,
Afghanistan,AFG,2012,0.3279,1945,,31161378,
Afghanistan,AFG,2013,0.2616,2025,,32269592,
Afghanistan,AFG,2014,0.233,2022,,33370803,
Afghanistan,AFG,2015,0.2297,1928,,34413603,Asia
Afghanistan,AFG,2016,0.1906,1929,,35383028,
Afghanistan,AFG,2017,0.189,2014.7453,,36296111,
Afghanistan,AFG,2018,0.2245,1934.555,,37171922,
Afghanistan,AFG,2019,0.3193,,,38041757,
Afghanistan,AFG,2020,0.3124,,,38928341,
Afghanistan,AFG,-10000,,,,14737,
Afghanistan,AFG,-9000,,,,20405,
Afghanistan,AFG,-8000,,,,28253,
Afghanistan,AFG,-7000,,,,39120,
Afghanistan,AFG,-6000,,,,54166,
Afghanistan,AFG,-5000,,,,74999,
Afghanistan,AFG,-4000,,,,306250,
Afghanistan,AFG,-3000,,,,537500,
Afghanistan,AFG,-2000,,,,768751,
Afghanistan,AFG,-1000,,,,999998,
Afghanistan,AFG,0,,,,1999997,
Afghanistan,AFG,100,,,,2250002,
Afghanistan,AFG,200,,,,2500001,
Afghanistan,AFG,300,,,,2500001,
Afghanistan,AFG,400,,,,2500001,
Afghanistan,AFG,500,,,,2500001,
Afghanistan,AFG,600,,,,2500001,
Afghanistan,AFG,700,,,,2425001,
Afghanistan,AFG,800,,,,2350008,
Afghanistan,AFG,900,,,,2299999,
Afghanistan,AFG,1000,,,,2250002,
Afghanistan,AFG,1100,,,,2375009,
Afghanistan,AFG,1200,,,,2500001,
Afghanistan,AFG,1300,,,,1749998,
Afghanistan,AFG,1400,,,,1874998,
Afghanistan,AFG,1500,,,,1999997,
Afghanistan,AFG,1600,,,,2500001,
Afghanistan,AFG,1700,,,,2500001,
Afghanistan,AFG,1710,,,,2561614,
Afghanistan,AFG,1720,,,,2619846,
Afghanistan,AFG,1730,,,,2679387,
Afghanistan,AFG,1740,,,,2740283,
Afghanistan,AFG,1750,,,,2802568,
Afghanistan,AFG,1760,,,,2866257,
Afghanistan,AFG,1770,,,,2931400,
Afghanistan,AFG,1780,,,,2998015,
Afghanistan,AFG,1790,,,,3066156,
Afghanistan,AFG,1800,,,,3280000,
Afghanistan,AFG,1801,,,,3280000,
Afghanistan,AFG,1802,,,,3280000,
Afghanistan,AFG,1803,,,,3280000,
Afghanistan,AFG,1804,,,,3280000,
Afghanistan,AFG,1805,,,,3280000,
Afghanistan,AFG,1806,,,,3280000,
Afghanistan,AFG,1807,,,,3280000,
Afghanistan,AFG,1808,,,,3280000,
Afghanistan,AFG,1809,,,,3280000,
Afghanistan,AFG,1810,,,,3280000,
Afghanistan,AFG,1811,,,,3280000,
Afghanistan,AFG,1812,,,,3280000,
Afghanistan,AFG,1813,,,,3280000,
Afghanistan,AFG,1814,,,,3280000,
Afghanistan,AFG,1815,,,,3280000,
Afghanistan,AFG,1816,,,,3280000,
Afghanistan,AFG,1817,,,,3280000,
Afghanistan,AFG,1818,,,,3280000,
Afghanistan,AFG,1819,,,,3282935,
Afghanistan,AFG,1820,,,,3288817,
Afghanistan,AFG,1821,,,,3297661,
Afghanistan,AFG,1822,,,,3309479,
Afghanistan,AFG,1823,,,,3324285,
Afghanistan,AFG,1824,,,,3339157,
Afghanistan,AFG,1825,,,,3354095,
Afghanistan,AFG,1826,,,,3369101,
Afghanistan,AFG,1827,,,,3384173,
Afghanistan,AFG,1828,,,,3399313,
Afghanistan,AFG,1829,,,,3414520,
Afghanistan,AFG,1830,,,,3429796,
Afghanistan,AFG,1831,,,,3445140,
Afghanistan,AFG,1832,,,,3460553,
Afghanistan,AFG,1833,,,,3476034,
Afghanistan,AFG,1834,,,,3491585,
Afghanistan,AFG,1835,,,,3507205,
Afghanistan,AFG,1836,,,,3522896,
Afghanistan,AFG,1837,,,,3538656,
Afghanistan,AFG,1838,,,,3554487,
Afghanistan,AFG,1839,,,,3570389,
Afghanistan,AFG,1840,,,,3586362,
Afghanistan,AFG,1841,,,,3602406,
Afghanistan,AFG,1842,,,,3618522,
Afghanistan,AFG,1843,,,,3634711,
Afghanistan,AFG,1844,,,,3650971,
Afghanistan,AFG,1845,,,,3667305,
Afghanistan,AFG,1846,,,,3683711,
Afghanistan,AFG,1847,,,,3700191,
Afghanistan,AFG,1848,,,,3716745,
Afghanistan,AFG,1849,,,,3734342,
Afghanistan,AFG,1850,,,,3752993,
Afghanistan,AFG,1851,,,,3769828,
Afghanistan,AFG,1852,,,,3787706,
Afghanistan,AFG,1853,,,,3806634,
Afghanistan,AFG,1854,,,,3825655,
Afghanistan,AFG,1855,,,,3844769,
Afghanistan,AFG,1856,,,,3863976,
Afghanistan,AFG,1857,,,,3883276,
Afghanistan,AFG,1858,,,,3902671,
Afghanistan,AFG,1859,,,,3922160,
Afghanistan,AFG,1860,,,,3941745,
Afghanistan,AFG,1861,,,,3961424,
Afghanistan,AFG,1862,,,,3981200,
Afghanistan,AFG,1863,,,,4001072,
Afghanistan,AFG,1864,,,,4021041,
Afghanistan,AFG,1865,,,,4041107,
Afghanistan,AFG,1866,,,,4061270,
Afghanistan,AFG,1867,,,,4081532,
Afghanistan,AFG,1868,,,,4101893,
Afghanistan,AFG,1869,,,,4122358,
Afghanistan,AFG,1870,,,,4142928,
Afghanistan,AFG,1871,,,,4163604,
Afghanistan,AFG,1872,,,,4184386,
Afghanistan,AFG,1873,,,,4205274,
Afghanistan,AFG,1874,,,,4226265,
Afghanistan,AFG,1875,,,,4247357,
Afghanistan,AFG,1876,,,,4268552,
Afghanistan,AFG,1877,,,,4289851,
Afghanistan,AFG,1878,,,,4311253,
Afghanistan,AFG,1879,,,,4332759,
Afghanistan,AFG,1880,,,,4354370,
Afghanistan,AFG,1881,,,,4376086,
Afghanistan,AFG,1882,,,,4397907,
Afghanistan,AFG,1883,,,,4419835,
Afghanistan,AFG,1884,,,,4441869,
Afghanistan,AFG,1885,,,,4464010,
Afghanistan,AFG,1886,,,,4486259,
Afghanistan,AFG,1887,,,,4508616,
Afghanistan,AFG,1888,,,,4531082,
Afghanistan,AFG,1889,,,,4553657,
Afghanistan,AFG,1890,,,,4576341,
Afghanistan,AFG,1891,,,,4599136,
Afghanistan,AFG,1892,,,,4622041,
Afghanistan,AFG,1893,,,,4645058,
Afghanistan,AFG,1894,,,,4668186,
Afghanistan,AFG,1895,,,,4691426,
Afghanistan,AFG,1896,,,,4714779,
Afghanistan,AFG,1897,,,,4738246,
Afghanistan,AFG,1898,,,,4761826,
Afghanistan,AFG,1899,,,,4793171,
Afghanistan,AFG,1900,,,,4832414,
Afghanistan,AFG,1901,,,,4879685,
Afghanistan,AFG,1902,,,,4935122,
Afghanistan,AFG,1903,,,,4998861,
Afghanistan,AFG,1904,,,,5063419,
Afghanistan,AFG,1905,,,,5128808,
Afghanistan,AFG,1906,,,,5195038,
Afghanistan,AFG,1907,,,,5262120,
Afghanistan,AFG,1908,,,,5330065,
Afghanistan,AFG,1909,,,,5467828,
Afghanistan,AFG,1910,,,,5681487,
Afghanistan,AFG,1911,,,,5977589,
Afghanistan,AFG,1912,,,,6363186,
Afghanistan,AFG,1913,,,,6845878,
Afghanistan,AFG,1914,,,,7365181,
Afghanistan,AFG,1915,,,,7923871,
Afghanistan,AFG,1916,,,,8524936,
Afghanistan,AFG,1917,,,,9171589,
Afghanistan,AFG,1918,,,,9875230,
Afghanistan,AFG,1919,,,,10338650,
Afghanistan,AFG,1920,,,,10558857,
Afghanistan,AFG,1921,,,,10531818,
Afghanistan,AFG,1922,,,,10252425,
Afghanistan,AFG,1923,,,,9714452,
Afghanistan,AFG,1924,,,,9204707,
Afghanistan,AFG,1925,,,,8721710,
Afghanistan,AFG,1926,,,,8264058,
Afghanistan,AFG,1927,,,,7830419,
Afghanistan,AFG,1928,,,,7419535,
Afghanistan,AFG,1929,,,,7099916,
Afghanistan,AFG,1930,,,,6866773,
Afghanistan,AFG,1931,,,,6715569,
Afghanistan,AFG,1932,,,,6642004,
Afghanistan,AFG,1933,,,,6642004,
Afghanistan,AFG,1934,,,,6642004,
Afghanistan,AFG,1935,,,,6642004,
Afghanistan,AFG,1936,,,,6642004,
Afghanistan,AFG,1937,,,,6642004,
Afghanistan,AFG,1938,,,,6642004,
Afghanistan,AFG,1939,,,,6662371,
Afghanistan,AFG,1940,,,,6703416,
Afghanistan,AFG,1941,,,,6765457,
Afghanistan,AFG,1942,,,,6848816,
Afghanistan,AFG,1943,,,,6953820,
Afghanistan,AFG,1944,,,,7060433,
Afghanistan,AFG,1945,,,,7168681,
Afghanistan,AFG,1946,,,,7278589,
Afghanistan,AFG,1947,,,,7390182,
Afghanistan,AFG,1948,,,,7503485,
Afghanistan,AFG,2021,,,,39835428,
Africa,,1884,0.005,,,130848603,
Africa,,1885,0.0082,,,131563803,
Africa,,1886,0.0105,,,132284841,
Africa,,1887,0.0104,,,133011765,
Africa,,1888,0.0174,,,133744628,
Africa,,1889,0.0281,,,134394419,
Africa,,1890,0.0625,,,135129385,
Africa,,1891,0.0618,,,135445399,
Africa,,1892,0.0988,,,135846881,
Africa,,1893,0.3663,,,136165893,
Africa,,1894,0.4897,,,136491624,
Africa,,1895,0.6643,,,136824118,
Africa,,1896,0.8378,,,137163427,
Africa,,1897,0.9295,,,137509591,
Africa,,1898,1.1636,,,137862661,
Africa,,1899,1.0481,,,138243556,
Africa,,1900,0.4365,,,138827369,
Africa,,1901,0.7213,,,139094637,
Africa,,1902,1.0574,,,139567767,
Africa,,1903,1.1687,,,140074606,
Africa,,1904,1.2962,,,140595545,
Africa,,1905,1.4672,,,141130711,
Africa,,1906,1.6463,,,141680233,
Africa,,1907,1.7854,,,142244256,
Africa,,1908,1.8188,,,142822923,
Africa,,1909,2.0523,,,143407172,
Africa,,1910,2.2834,,,144170612,
Africa,,1911,0.8919,,,144586985,
Africa,,1912,0.9369,,,145180745,
Africa,,1913,1.0099,,,145775225,
Africa,,1914,0.9941,,,146378430,
Africa,,1915,0.4661,,,146990451,
Africa,,1916,0.4609,,,147611381,
Africa,,1917,0.4969,,,148241306,
Africa,,1918,0.4798,,,148852646,
Africa,,1919,0.5111,,,149715052,
Africa,,1920,0.4611,,,151007600,
Africa,,1921,0.4545,,,152208708,
Africa,,1922,0.3994,,,153847948,
Africa,,1923,0.4768,,,155754237,
Africa,,1924,0.4955,,,157688951,
Africa,,1925,0.513,,,159652537,
Africa,,1926,0.5408,,,161645440,
Africa,,1927,0.492,,,163668127,
Africa,,1928,0.4568,,,165721048,
Africa,,1929,0.4635,,,167806256,
Africa,,1930,0.4298,,,170123290,
Africa,,1931,0.3702,,,172075410,
Africa,,1932,0.3294,,,174260306,
Africa,,1933,0.3241,,,176479403,
Africa,,1934,0.3645,,,178731614,
Africa,,1935,0.3961,,,181017458,
Africa,,1936,0.4391,,,183337445,
Africa,,1937,0.4637,,,185692116,
Africa,,1938,0.4802,,,188081992,
Africa,,1939,0.4992,,,190625616,
Africa,,1940,0.5202,,,193553408,
Africa,,1941,0.4698,,,196192789,
Africa,,1942,0.5038,,,199225975,
Africa,,1943,0.5068,,,202432183,
Africa,,1944,0.6493,,,205698555,
Africa,,1945,0.628,,,209026260,
Africa,,1946,0.6445,,,212416498,
Africa,,1947,0.6086,,,215870471,
Africa,,1948,0.545,,,219389433,
Africa,,1949,0.5773,,,223251064,
Africa,,1950,0.4736,,,227794137,
Africa,,1951,0.4957,,,232327854,
Africa,,1952,0.5293,,,237096560,
Africa,,1953,0.5271,,,242092455,
Africa,,1954,0.5406,,,247310597,
Africa,,1955,0.5828,,,252748917,
Africa,,1956,0.5939,,,258408217,
Africa,,1957,0.6083,,,264292214,
Africa,,1958,0.5804,,,270407028,
Africa,,1959,0.5403,,,276760722,
Africa,,1960,0.5589,,,283361169,
Africa,,1961,0.5646,,,290214463,
Africa,,1962,0.5666,,,297322603,
Africa,,1963,0.5861,,,304683363,
Africa,,1964,0.6272,,,312291849,
Africa,,1965,0.675,,,320147295,
Africa,,1966,0.6814,,,328256593,
Africa,,1967,0.7124,,,336631176,
Africa,,1968,0.7541,,,345280352,
Africa,,1969,0.7938,,,354214821,
Africa,,1970,0.8426,,,363447593,
Africa,,1971,0.9003,,,372983506,
Africa,,1972,0.9284,,,382837766,
Africa,,1973,0.9716,,,393044438,
Africa,,1974,0.9722,,,403645936,
Africa,,1975,0.9438,,,414674675,
Africa,,1976,0.9966,,,426144455,
Africa,,1977,0.9995,,,438054806,
Africa,,1978,1.038,,,450403896,
Africa,,1979,1.0894,,,463183559,
Africa,,1980,1.1366,,,476386225,
Africa,,1981,1.1315,,,490003904,
Africa,,1982,1.1465,,,504034176,
Africa,,1983,1.159,,,518479759,
Africa,,1984,1.2304,,,533345151,
Africa,,1985,1.2263,,,548626140,
Africa,,1986,1.2352,,,564327298,
Africa,,1987,1.2011,,,580424290,
Africa,,1988,1.2277,,,596849006,
Africa,,1989,1.1502,,,613512108,
Africa,,1990,1.0524,,,630349685,
Africa,,1991,1.0685,,,647344041,
Africa,,1992,1.0101,,,664512034,
Africa,,1993,1.0434,,,681869333,
Africa,,1994,1.0292,,,699445412,
Africa,,1995,1.0767,,,717270112,
Africa,,1996,1.0655,,,735361106,
Africa,,1997,1.0789,,,753737584,
Africa,,1998,1.0853,,,772437161,
Africa,,1999,1.0495,,,791504165,
Africa,,2000,1.0936,,,810984230,
Africa,,2001,1.0645,,,830902539,
Africa,,2002,1.0489,,,851298437,
Africa,,2003,1.1094,,,872248336,
Africa,,2004,1.1603,,,893842786,
Africa,,2005,1.1547,,,916154285,
Africa,,2006,1.1613,,,939210049,
Africa,,2007,1.1763,,,963021837,
Africa,,2008,1.1968,,,987623519,
Africa,,2009,1.1762,,,1013045724,
Africa,,2010,1.1725,,,1039304030,
Africa,,2011,1.1809,,,1066409711,
Africa,,2012,1.1456,,,1094343029,
Africa,,2013,1.1227,,,1123045137,
Africa,,2014,1.1837,,,1152433617,
Africa,,2015,1.1191,,,1182438803,
Africa,,2016,1.1189,,,1213040542,
Africa,,2017,1.1131,,,1244222269,
Africa,,2018,1.0865,,,1275921014,
Africa,,2019,1.0772,,,1308064176,
Africa,,2020,0.9896,,,1340598111,
Africa,,-10000,,,,227611,
Africa,,-9000,,,,323035,
Africa,,-8000,,,,462967,
Africa,,-7000,,,,670019,
Africa,,-6000,,,,979104,
Africa,,-5000,,,,1444504,
Africa,,-4000,,,,2251122,
Africa,,-3000,,,,4007530,
Africa,,-2000,,,,6064634,
Africa,,-1000,,,,8992370,
Africa,,0,,,,14807660,
Africa,,100,,,,16184489,
Africa,,200,,,,17752974,
Africa,,300,,,,18711169,
Africa,,400,,,,19971099,
Africa,,500,,,,21483418,
Africa,,600,,,,23483725,
Africa,,700,,,,27061425,
