"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"EXPGDP_TOT","GERD as a percentage of GDP","AUS","Australia","2013","2013",2.1787,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUS","Australia","2015","2015",1.91918,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUS","Australia","2017","2017",1.87466,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2013","2013",2.95492,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2014","2014",3.08429,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2015","2015",3.04969,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2016","2016",3.11659,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2017","2017",3.04885,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2018","2018",3.17491,,
"EXPGDP_TOT","GERD as a percentage of GDP","AUT","Austria","2019","2019",3.2105,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2013","2013",2.33073,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2014","2014",2.37002,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2015","2015",2.42817,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2016","2016",2.52252,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2017","2017",2.66124,,
"EXPGDP_TOT","GERD as a percentage of GDP","BEL","Belgium","2018","2018",2.76578,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2013","2013",1.7054,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2014","2014",1.71417,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2015","2015",1.69324,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2016","2016",1.72873,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2017","2017",1.66886,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2018","2018",1.56287,,
"EXPGDP_TOT","GERD as a percentage of GDP","CAN","Canada","2019","2019",1.54266,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2013","2013",1.89973,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2014","2014",1.97285,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2015","2015",1.92923,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2016","2016",1.68015,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2017","2017",1.79079,,
"EXPGDP_TOT","GERD as a percentage of GDP","CZE","Czechia","2018","2018",1.93017,,
"EXPGDP_TOT","GERD as a percentage of GDP","DNK","Denmark","2013","2013",2.97048,,
"EXPGDP_TOT","GERD as a percentage of GDP","DNK","Denmark","2014","2014",2.91409,,
"EXPGDP_TOT","GERD as a percentage of GDP","DNK","Denmark","2015","2015",3.05497,,
"EXPGDP_TOT","GERD as a percentage of GDP","DNK","Denmark","2016","2016",3.09283,,
"EXPGDP_TOT","GERD as a percentage of GDP","DNK","Denmark","2017","2017",3.05015,,
"EXPGDP_TOT","GERD as a percentage of GDP","DNK","Denmark","2018","2018",3.03292,,
"EXPGDP_TOT","GERD as a percentage of GDP","FIN","Finland","2013","2013",3.27137,,
"EXPGDP_TOT","GERD as a percentage of GDP","FIN","Finland","2014","2014",3.14751,,
"EXPGDP_TOT","GERD as a percentage of GDP","FIN","Finland","2015","2015",2.87196,,
"EXPGDP_TOT","GERD as a percentage of GDP","FIN","Finland","2016","2016",2.72442,,
"EXPGDP_TOT","GERD as a percentage of GDP","FIN","Finland","2017","2017",2.73349,,
"EXPGDP_TOT","GERD as a percentage of GDP","FIN","Finland","2018","2018",2.75572,,
