Date, Close/Last, Volume, Open, High, Low
12/04/2020, 66.575, 17140, 66.2, 66.7, 64.6
12/03/2020, 66.925, 11852, 67.875, 68.05, 66.725
12/02/2020, 67.875, 10275, 68.15, 68.4, 67.725
12/01/2020, 68.75, 15516, 68.75, 69.6, 68.05
11/30/2020, 68.575, 11360, 67.425, 68.775, 67.15
11/27/2020, 67.25, 8066, 67.875, 67.975, 66.225
11/25/2020, 67.675, 7708, 66.9, 67.85, 66.525
11/24/2020, 66.75, 12853, 67.475, 67.625, 66
11/23/2020, 67.125, 18830, 65.35, 68.05, 67.05
11/20/2020, 65.35, 18714, 62.9, 65.775, 62.75
11/19/2020, 63.05, 15739, 65.175, 65.45, 62.9
11/18/2020, 65.9, 11542, 64.825, 66, 64.725
11/17/2020, 65.625, 17325, 64.05, 65.8, 64.05
11/16/2020, 63.775, 12727, 64.625, 65.2, 63.7
11/13/2020, 64.575, 12476, 66.6, 66.6, 64.425
11/12/2020, 66.725, 16267, 66.95, 67.55, 66.4
11/11/2020, 64.8, 24300, 65.15, 65.775, 63.6
11/10/2020, 65.125, 21959, 66.3, 66.3, 64.9
11/09/2020, 65.6, 21675, 65.8, 66.575, 65.25
11/06/2020, 64.9, 29337, 67, 67.575, 64.625
11/05/2020, 67.425, 16342, 66.875, 67.6, 66.725
11/04/2020, 66.35, 12415, 65.575, 66.45, 65.775
11/03/2020, 65.4, 14914, 66.5, 66.8, 65.15
11/02/2020, 65.95, 16221, 65.725, 66.05, 64.1
10/30/2020, 65.575, 17225, 66.45, 66.975, 65.2
10/29/2020, 65.625, 16811, 65.8, 66.15, 64.2
10/28/2020, 66.375, 15141, 67, 67.325, 65.825
10/27/2020, 67.65, 15895, 68.175, 69.65, 67.425
10/26/2020, 67.75, 17561, 66.675, 67.95, 65.3
10/23/2020, 67.025, 14017, 66.35, 67.225, 65.7
10/22/2020, 66.2, 15990, 69.575, 69.8, 66.2
10/21/2020, 69.2, 18739, 69.9, 70.825, 68.85
10/20/2020, 69.25, 22270, 70.975, 71.05, 68.5
10/19/2020, 71.425, 22205, 69.725, 72.8, 69.325
10/16/2020, 69.8, 17466, 70.3, 70.7, 68.825
10/15/2020, 69.875, 20882, 68.2, 69.925, 68.025
10/14/2020, 68.425, 19285, 66.75, 68.675, 66.65
10/13/2020, 66.15, 16886, 66.5, 66.6, 64.9
10/12/2020, 66.625, 12662, 67.125, 67.325, 66
10/09/2020, 67.125, 15088, 67.05, 67.375, 66.35
10/08/2020, 66.85, 23115, 65.275, 67.45, 65.225
10/07/2020, 64.575, 18379, 63.5, 64.8, 63.5
10/06/2020, 63.875, 11980, 63.225, 64.625, 63.225
10/05/2020, 62.65, 13014, 62.5, 62.875, 61.9
10/02/2020, 62.5, 11523, 62.85, 63.875, 62.225
10/01/2020, 62.85, 10399, 63.1, 63.25, 62.125
09/30/2020, 63.1, 11782, 62.1, 63.55, 61.8
09/29/2020, 61.975, 17739, 64.275, 64.3, 61.575
09/28/2020, 64.025, 13261, 64.375, 64.45, 63.2
09/25/2020, 64.425, 16664, 62.45, 64.85, 62.25
09/24/2020, 63.275, 12996, 63.775, 64.475, 63.05
09/23/2020, 64.35, 14009, 63.775, 64.5, 63.275
09/22/2020, 64.1, 17574, 62.95, 64.55, 62.675
09/21/2020, 61.55, 17176, 63.175, 63.5, 61.4
09/18/2020, 63.525, 14286, 64.225, 64.5, 62.8
09/17/2020, 63.625, 19253, 62.5, 64.05, 62.45
09/16/2020, 61.975, 12217, 63.25, 63.75, 61.25
09/15/2020, 63.05, 23582, 63.575, 64.675, 62.925
09/14/2020, 63.575, 34209, 66.95, 67.1, 63.2
09/11/2020, 66, 47537, 64.775, 66.9, 64.625
09/10/2020, 64.375, 18064, 63.1, 64.375, 62.875
09/09/2020, 61.375, 28293, 60.05, 61.725, 59.775
09/08/2020, 59.9, 26166, 59.375, 60.275, 58.775
09/04/2020, 59.825, 15541, 59.9, 60.95, 58.875
09/03/2020, 59.25, 32048, 57.3, 59.4, 57.175
09/02/2020, 56.4, 21906, 55.25, 56.925, 54.9
09/01/2020, 55.025, 17292, 54, 55.2, 53.8
08/31/2020, 53.6, 11967, 53.375, 54.375, 53.175
08/28/2020, 53.65, 18384, 55.025, 55.075, 53.225
08/27/2020, 55.725, 11494, 55.4, 56.125, 55.275
08/26/2020, 55.55, 15348, 55.95, 56.7, 54.65
08/25/2020, 55.95, 12322, 55.475, 56.175, 55.175
08/24/2020, 54.6, 13963, 54.5, 55.95, 54.25
08/21/2020, 54.25, 12939, 55.525, 55.975, 54.075
08/20/2020, 55.175, 25165, 53.7, 56.125, 53.55
08/19/2020, 52.55, 11032, 51.65, 52.825, 51.475
08/18/2020, 51.425, 14899, 53.45, 53.55, 51.275
08/17/2020, 53.525, 9902, 52.825, 53.9, 52.8
08/14/2020, 53.025, 10581, 52.25, 53.475, 52.15
08/13/2020, 52.35, 12911, 51.775, 52.475, 51.5
08/12/2020, 51.6, 15158, 51.575, 52.3, 50.55
08/11/2020, 51.825, 18837, 54, 54.025, 51.775
08/10/2020, 53.825, 26246, 51.6, 54.15, 51.5
08/07/2020, 50.975, 14258, 49.725, 51.85, 49.725
08/06/2020, 49.2, 9354, 48.95, 49.75, 48.925
08/05/2020, 49.3, 16070, 48.925, 49.775, 48.7
08/04/2020, 49.025, 14870, 48.25, 49.575, 48.175
08/03/2020, 48.4, 16610, 49, 49.375, 48.05
07/31/2020, 49.625, 16833, 48.05, 49.825, 47.875
07/30/2020, 48.325, 15549, 49.525, 49.975, 48.025
07/29/2020, 49.825, 14989, 50.1, 50.55, 49.1
07/28/2020, 50.725, 12772, 50.65, 51.425, 50.1
07/27/2020, 50.75, 13742, 50.4, 51.2, 49.625
07/24/2020, 50.15, 13185, 51.05, 51.175, 49.425
07/23/2020, 51.025, 13622, 50.475, 51.675, 50.25
07/22/2020, 50.075, 11618, 50.775, 50.975, 49.65
07/21/2020, 50.025, 12003, 49.275, 50.35, 49.025
07/20/2020, 49.2, 16798, 51.1, 51.5, 49.025
07/17/2020, 51.075, 10667, 51.7, 51.975, 50.825
07/16/2020, 51.825, 18889, 49.65, 52.075, 49.65
07/15/2020, 49.425, 10926, 49.65, 50.15, 49.175
07/14/2020, 49.675, 16212, 49.725, 50.775, 49.5
07/13/2020, 51.275, 26339, 50.225, 51.825, 49.4
07/10/2020, 49.875, 22385, 50.55, 51.025, 49.35
07/09/2020, 50.225, 28603, 48.95, 51.175, 48.75
07/08/2020, 47.95, 24756, 48.875, 49.2, 47.9
07/07/2020, 48.875, 18778, 48.425, 49.875, 48.225
07/06/2020, 49.275, 15119, 49.85, 50.35, 49.2
07/02/2020, 49.2, 13958, 49.075, 49.875, 48.85
07/01/2020, 49.075, 21394, 48.325, 50, 48.1
06/30/2020, 49.025, 17627, 48.2, 49.375, 47.85
06/29/2020, 48.45, 13316, 48.25, 49.125, 47.525
06/26/2020, 48.125, 22564, 48.975, 48.975, 47.575
06/25/2020, 51.325, 12663, 51.25, 51.95, 50.6
06/24/2020, 51.25, 12328, 52.2, 52.45, 51.15
06/23/2020, 52.5, 16168, 51.5, 53.025, 50.75
06/22/2020, 51.1, 14547, 52.15, 52.45, 50.425
06/19/2020, 52.8, 10708, 53.85, 54.5, 52.7
06/18/2020, 53.475, 12474, 53.25, 53.75, 52.2
06/17/2020, 53.175, 15429, 52.175, 53.4, 51.525
06/16/2020, 53.025, 18325, 54.95, 54.975, 52.275
06/15/2020, 55.275, 12944, 54.375, 55.8, 54.225
06/12/2020, 54.65, 15376, 54.75, 56.175, 54.55
06/11/2020, 54.875, 19576, 55.75, 55.75, 54.5
06/10/2020, 55.825, 19686, 56.75, 56.925, 55.375
06/09/2020, 52.975, 22362, 53.675, 54.225, 52.45
06/08/2020, 53.975, 22526, 53.2, 55, 53.2
06/05/2020, 53.925, 20884, 53.8, 55.15, 53.4
06/04/2020, 53.575, 17342, 53.425, 54.25, 52.925
06/03/2020, 53.475, 17008, 54, 54.425, 53.35
06/02/2020, 54.875, 14577, 54.6, 56.4, 54.425
06/01/2020, 55.15, 14287, 54.85, 55.875, 54.75
05/29/2020, 57.025, 17801, 54.825, 57.15, 54.325
05/28/2020, 55.65, 16659, 58, 58, 55.55
05/27/2020, 60.175, 6468, 60.1, 62, 60.05
05/26/2020, 59.575, 20306, 56.175, 59.65, 55.7
05/22/2020, 55.9, 10202, 56.925, 57, 55.825
05/21/2020, 57.175, 13690, 55.8, 57.45, 55.375
05/20/2020, 55.8, 10363, 55.725, 56.15, 55.35
05/19/2020, 56.65, 6021, 57.6, 58.65, 56.55
05/18/2020, 57.65, 10040, 58.375, 58.45, 57.05
05/15/2020, 57.75, 10288, 58.025, 58.725, 57.575
05/14/2020, 58.8, 16638, 58.4, 59.525, 57.325
05/13/2020, 57.875, 20556, 60.275, 60.35, 57.7
05/12/2020, 61.475, 15129, 60.575, 61.6, 59.725
05/11/2020, 60.275, 20881, 61.325, 62.975, 59.8
05/08/2020, 61.7, 16735, 63.7, 63.775, 61.5
05/07/2020, 63.9, 24971, 65.675, 65.95, 61.825
05/06/2020, 65.575, 16311, 63.725, 65.775, 63
05/05/2020, 64.275, 21652, 65, 66.275, 63.75
05/04/2020, 65.5, 25868, 63.375, 66.95, 63.075
05/01/2020, 62.7, 16595, 60.1, 62.7, 59.95
04/30/2020, 58.95, 18959, 55.3, 59.25, 55.025
04/29/2020, 55.525, 16215, 56.975, 57.825, 54.775
04/28/2020, 56.2, 34321, 56.975, 60.775, 55.3
04/27/2020, 55.275, 13470, 52.5, 55.275, 52.425
04/24/2020, 51.525, 20650, 52, 53.475, 50.15
04/23/2020, 51.625, 19253, 48.7, 51.65, 48.475
04/22/2020, 47.9, 18459, 48, 49.25, 47.25
04/21/2020, 52.925, 9913, 53.4, 54.2, 51.95
04/20/2020, 46.25, 22751, 44.825, 47.475, 43.95
04/17/2020, 43.725, 16362, 44, 46.7, 43.2
04/16/2020, 43.175, 17161, 44.125, 45.35, 43
04/15/2020, 44.625, 16986, 43.225, 45.1, 42.55
04/14/2020, 43.95, 29152, 44.475, 46.95, 41.5
04/13/2020, 44.925, 9343, 45.2, 45.6, 44.925
04/09/2020, 48.675, 15564, 49.9, 50.525, 48.55
04/08/2020, 51.45, 30416, 55.475, 57.15, 49.85
04/07/2020, 52.65, 13965, 51.975, 52.65, 50.5
04/06/2020, 49.65, 45992, 43.825, 51.075, 43.825
04/03/2020, 48.325, 14453, 48.9, 49.375, 48.325
04/02/2020, 52.825, 21421, 52.825, 54, 52.825
04/01/2020, 57.325, 10264, 58.85, 59, 57.325
03/31/2020, 60.325, 22904, 59.8, 61.525, 59.325
03/30/2020, 59.775, 21807, 63.225, 63.25, 59.75
03/27/2020, 64.25, 12723, 67.55, 67.55, 64.25
03/26/2020, 68.75, 10668, 71.25, 71.25, 68.75
03/25/2020, 71.75, 13995, 74, 74, 70.925
03/24/2020, 73, 13520, 73.225, 73.425, 72.025
03/23/2020, 70.95, 13632, 70.475, 70.95, 69.1
03/20/2020, 67.95, 19397, 69.525, 71.075, 67.675
03/19/2020, 69.15, 23644, 69.2, 70.25, 67.075
03/18/2020, 67.3, 32835, 69.775, 70.475, 66.025
03/17/2020, 70.425, 26771, 67.475, 71.3, 67.275
03/16/2020, 66.8, 27660, 66.8, 69.375, 66.8
03/13/2020, 71.3, 18364, 77, 77.2, 71.3
03/12/2020, 75.8, 17561, 76.075, 76.75, 75.8
03/11/2020, 63.875, 23425, 65.55, 66, 63.8
03/10/2020, 65, 30583, 64.625, 66, 64.5
03/09/2020, 63, 32234, 62.925, 65.225, 62.925
