Nationality Country of Origin,Domestic Servitude,Labour Exploitation,Organ Harvesting,Sexual Exploitation,Unknown Exploitation,2016 Total,2015-2016 % Change
Albania,5,194,0,433,67,699,16.50%
Vietnam,30,307,0,88,94,519,8.60%
United Kingdom,3,85,0,233,5,326,70.70%
Nigeria,77,32,0,109,25,243,-5.40%
China,11,139,0,67,24,241,143.40%
Romania,6,130,0,54,12,202,5.20%
Poland,7,140,0,11,5,163,1.90%
Eritrea,27,41,0,18,23,109,-20.40%
India,17,63,0,9,11,100,40.80%
Afghanistan,5,21,0,12,45,83,72.90%
Sudan,2,75,0,0,2,79,-4.80%
Slovakia,3,57,0,4,9,73,-17%
Pakistan,31,22,0,13,4,70,22.80%
Iran,4,11,0,14,31,60,150%
Bangladesh,24,12,1,10,7,54,22.70%
Ghana,12,8,0,22,3,45,28.60%
Philippines,31,5,0,5,4,45,60.70%
Ethiopia,17,17,0,4,3,41,-32.80%
Iraq,2,11,0,3,23,39,160%
Lithuania,1,28,0,9,0,38,-17.40%
Czech Republic,5,18,0,12,2,37,-14%
Somalia,12,15,0,6,4,37,76.20%
Hungary,3,19,0,12,2,36,5.90%
Thailand,0,2,0,21,0,23,43.80%
Democratic Republic of the Congo,5,3,0,5,9,22,4.80%
Bulgaria,4,13,0,2,2,21,-52.30%
Latvia,0,13,0,5,3,21,61.50%
Uganda,8,0,0,11,2,21,-19.20%
Egypt,1,6,0,3,9,19,90%
Zimbabwe,8,1,0,5,5,19,11.80%
Kenya,8,1,0,6,3,18,28.60%
Cameroon,5,3,0,5,4,17,-5.60%
Syria,2,2,0,1,11,16,166.70%
Jamaica,4,6,0,2,2,14,75%
Burma / Myanmar,3,9,0,0,1,13,-35%
Gambia,5,0,0,6,2,13,116.70%
Malawi,2,3,0,4,2,11,-8.30%
Ivory Coast,1,1,0,7,1,10,100%
South Africa,3,1,0,6,0,10,42.90%
Sierra Leone,3,2,0,4,0,9,-55%
Brazil,1,0,0,7,0,8,300%
Angola,4,1,0,2,0,7,-58.80%
Senegal,3,0,0,4,0,7,250%
Sri Lanka,1,3,0,2,1,7,-61.10%
Zambia,1,1,0,3,2,7,75%
Algeria,0,3,0,2,1,6,100%
Guinea,0,1,0,3,2,6,-33.30%
Morocco,1,1,0,3,1,6,-25%
United States of America,0,2,0,2,2,6,20%
Malaysia,0,3,0,2,0,5,-16.70%
Tanzania,1,0,0,3,1,5,150%
East Timor,0,4,0,0,0,4,N/A
Kosovo,0,2,0,1,1,4,100%
Namibia,1,0,0,1,2,4,-20%
North Korea,1,1,0,1,1,4,-20%
Turkey,1,1,0,2,0,4,-33.30%
Ukraine,0,2,0,2,0,4,100%
Unknown,0,0,0,4,0,4,-42.90%
Botswana,1,2,0,0,0,3,-25%
France,0,1,0,2,0,3,200%
Indonesia,3,0,0,0,0,3,-25%
Ireland,0,3,0,0,0,3,N/A
Mauritius,1,1,0,1,0,3,N/A
Mongolia,0,1,0,2,0,3,200%
Nepal,2,0,0,1,0,3,-40%
Portugal,0,0,0,2,1,3,-66.70%
Russia,1,1,0,1,0,3,N/A
St Lucia,1,0,0,2,0,3,200%
Taiwan,0,2,0,1,0,3,N/A
Trinidad & Tobago,0,0,0,3,0,3,200%
Tunisia,0,2,0,1,0,3,200%
Canada,0,0,0,0,2,2,N/A
Germany,0,0,0,2,0,2,N/A
Grenada,1,1,0,0,0,2,0%
Hong Kong,0,1,0,1,0,2,N/A
Jordan,0,1,0,1,0,2,N/A
Kuwait,0,1,0,0,1,2,100%
Lebanon,0,0,0,0,2,2,100%
Liberia,0,0,0,1,1,2,N/A
Macedonia,0,2,0,0,0,2,N/A
Netherlands,0,1,0,1,0,2,-50%
Rwanda,1,0,0,1,0,2,N/A
Spain,0,0,0,2,0,2,-60%
Armenia,0,0,0,1,0,1,N/A
Australia,0,1,0,0,0,1,0%
Bahamas,0,1,0,0,0,1,N/A
Barbados,0,1,0,0,0,1,N/A
Belarus,0,0,0,1,0,1,N/A
Benin,1,0,0,0,0,1,-50%
Bosnia and Herzegovina,0,1,0,0,0,1,0%
Burundi,0,0,0,0,1,1,-50%
Cambodia,0,1,0,0,0,1,0%
Congo,0,0,0,0,1,1,N/A
Cuba,0,0,0,0,1,1,-50%
Denmark,0,0,0,1,0,1,N/A
Dominican Republic,1,0,0,0,0,1,N/A
Georgia,0,1,0,0,0,1,-50%
Germany / Poland,0,1,0,0,0,1,N/A
Greece,0,1,0,0,0,1,N/A
Guyana,0,0,0,0,1,1,N/A
Italy,1,0,0,0,0,1,N/A
Mauritania,1,0,0,0,0,1,0%
Mexico,0,0,0,0,1,1,N/A
Moldova,0,1,0,0,0,1,N/A
Mozambique,1,0,0,0,0,1,N/A
Netherlands / Sri Lanka,0,1,0,0,0,1,N/A
Niger,0,1,0,0,0,1,N/A
Sao Tome & Principe,0,1,0,0,0,1,N/A
South Korea,0,1,0,0,0,1,0%
St Vincent & Grenadines,0,1,0,0,0,1,N/A
Togo,1,0,0,0,0,1,N/A
Total,429,1575,1,1313,487,3805,
