Country of Origin,Female,Male,Transgender,Total,2013 - 2014 % Change
Albania,351,98,0,449,68%
Nigeria,204,40,0,244,31%
Vietnam,76,140,0,216,19%
Romania,68,83,0,151,45%
Slovakia,69,63,0,132,136%
United Kingdom,92,39,0,131,46%
China,47,42,0,89,24%
Poland,23,58,0,81,-6%
Lithuania,24,45,0,69,13%
Hungary,22,33,0,55,-27%
Eritrea,33,20,0,53,430%
Czech Republic,14,28,0,42,31%
Bangladesh,14,24,0,38,111%
India,18,19,0,37,95%
Ghana,23,8,0,31,11%
Bulgaria,13,17,0,30,275%
Ethiopia,27,1,0,28,180%
Uganda,23,2,0,25,-38%
Afghanistan,4,20,0,24,167%
Pakistan,9,14,1,24,-27%
Kenya,21,1,0,22,83%
Philippines,18,1,0,19,6%
Cameroon,11,7,0,18,64%
Portugal,6,12,0,18,800%
Sierra Leone,14,4,0,18,13%
Democratic Republic of the Congo,15,2,0,17,42%
Sri Lanka,10,6,0,16,100%
Zimbabwe,11,5,0,16,100%
Sudan,1,13,0,14,1300%
Thailand,14,0,0,14,17%
Indonesia,12,0,0,12,50%
Latvia,7,5,0,12,-79%
Gambia,10,1,0,11,0%
Malawi,11,0,0,11,57%
Syria,4,7,0,11,N/A
Jamaica,7,3,0,10,100%
Morocco,4,6,0,10,233%
Somalia,7,2,0,9,-25%
Burma,4,3,0,7,600%
Iran,4,3,0,7,-13%
Guinea,5,1,0,6,-14%
Angola,3,2,0,5,-29%
Nepal,3,2,0,5,400%
Egypt,1,3,0,4,300%
Germany,2,2,0,4,300%
Iraq,4,0,0,4,N/A
Liberia,4,0,0,4,300%
Turkey,3,1,0,4,-50%
Ukraine,1,3,0,4,300%
Brazil,2,0,1,3,N/A
Ivory Coast,3,0,0,3,-67%
Kosovo,3,0,0,3,0%
Mali,2,1,0,3,200%
Namibia,2,1,0,3,200%
Russia,2,1,0,3,50%
South Africa,2,1,0,3,-25%
Zambia,3,0,0,3,-50%
Bhutan,2,0,0,2,N/A
Bolivia,1,1,0,2,100%
Guinea Bissau,2,0,0,2,100%
Ireland,1,1,0,2,-67%
Kuwait,1,1,0,2,N/A
Malaysia,1,1,0,2,-33%
North Korea,2,0,0,2,100%
Not known,1,1,0,2,N/A
Senegal,2,0,0,2,N/A
Spain,0,2,0,2,0%
United States of America,2,0,0,2,0%
Algeria,1,0,0,1,-67%
Benin,1,0,0,1,0%
Botswana,1,0,0,1,-50%
Burundi,1,0,0,1,0%
Burundi / Tanzania,1,0,0,1,0%
Congo,1,0,0,1,-89%
DRC naturalised as United Kingdom,0,1,0,1,N/A
Estonia,1,0,0,1,-50%
Ethiopia / Eritrea,1,0,0,1,N/A
Guyana,1,0,0,1,N/A
Holland,1,0,0,1,-50%
Honduras,1,0,0,1,N/A
Italy,1,0,0,1,0%
Ivory Coast/Ghana,1,0,0,1,N/A
Lao People's Democratic Republic,0,1,0,1,-50%
Madagascar,1,0,0,1,N/A
Mexico,1,0,0,1,N/A
Mongolia,1,0,0,1,-67%
Norway,1,0,0,1,N/A
Panama,0,1,0,1,N/A
Rwanda,1,0,0,1,-67%
Saint Vincent and the Grenadines,1,0,0,1,N/A
Saudi Arabia,0,1,0,1,N/A
Serbia,1,0,0,1,N/A
South Korea,0,1,0,1,N/A
St Lucia,1,0,0,1,N/A
Taiwan,1,0,0,1,N/A
Tanzania,1,0,0,1,-50%
Togo,1,0,0,1,-50%
Trinidad & Tobago,1,0,0,1,0%
UK/Nigerian,1,0,0,1,0%
Western Sahara,0,1,0,1,0%
Total,"1,432",906,2,"2,340",
