X-axis title,Year,Region,Indicator,Regional Estimate,Value
"persons held per 100,000 population (rate)",2000,Americas,"Persons held per 100,000 population",357.419608913,357.42
"persons held per 100,000 population (rate)",2001,Americas,"Persons held per 100,000 population",356.596593904,356.60
"persons held per 100,000 population (rate)",2002,Americas,"Persons held per 100,000 population",356.864188442,356.86
"persons held per 100,000 population (rate)",2003,Americas,"Persons held per 100,000 population",354.276175658,354.28
"persons held per 100,000 population (rate)",2004,Americas,"Persons held per 100,000 population",358.773025728,358.77
"persons held per 100,000 population (rate)",2005,Americas,"Persons held per 100,000 population",364.101473213,364.10
"persons held per 100,000 population (rate)",2006,Americas,"Persons held per 100,000 population",371.744469417,371.74
"persons held per 100,000 population (rate)",2007,Americas,"Persons held per 100,000 population",376.993535136,376.99
"persons held per 100,000 population (rate)",2008,Americas,"Persons held per 100,000 population",380.7065706,380.71
"persons held per 100,000 population (rate)",2009,Americas,"Persons held per 100,000 population",379.753096496,379.75
"persons held per 100,000 population (rate)",2010,Americas,"Persons held per 100,000 population",379.504686909,379.50
"persons held per 100,000 population (rate)",2011,Americas,"Persons held per 100,000 population",381.987004219,381.99
"persons held per 100,000 population (rate)",2012,Americas,"Persons held per 100,000 population",384.104489981,384.10
"persons held per 100,000 population (rate)",2013,Americas,"Persons held per 100,000 population",386.548867528,386.55
"persons held per 100,000 population (rate)",2014,Americas,"Persons held per 100,000 population",386.169171533,386.17
"persons held per 100,000 population (rate)",2015,Americas,"Persons held per 100,000 population",387.885277592,387.89
"persons held per 100,000 population (rate)",2016,Americas,"Persons held per 100,000 population",387.146215892,387.15
"persons held per 100,000 population (rate)",2017,Americas,"Persons held per 100,000 population",385.841945257,385.84
"persons held per 100,000 population (rate)",2018,Americas,"Persons held per 100,000 population",383.67495828,383.67
"persons held per 100,000 population (rate)",2019,Americas,"Persons held per 100,000 population",378.918716942,378.92
"persons held per 100,000 population (rate)",2000,Asia,"Persons held per 100,000 population",102.17515939,102.18
"persons held per 100,000 population (rate)",2001,Asia,"Persons held per 100,000 population",102.840839798,102.84
"persons held per 100,000 population (rate)",2002,Asia,"Persons held per 100,000 population",103.544216127,103.54
"persons held per 100,000 population (rate)",2003,Asia,"Persons held per 100,000 population",104.081830376,104.08
"persons held per 100,000 population (rate)",2004,Asia,"Persons held per 100,000 population",104.447962059,104.45
"persons held per 100,000 population (rate)",2005,Asia,"Persons held per 100,000 population",105.374757663,105.37
"persons held per 100,000 population (rate)",2006,Asia,"Persons held per 100,000 population",108.656795719,108.66
"persons held per 100,000 population (rate)",2007,Asia,"Persons held per 100,000 population",109.08646449,109.09
