LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
AUS,TEACHERSALARY,PRY15YREXP,USD,A,2020,65657.87754
AUS,TEACHERSALARY,PRY_START,USD,A,2020,45682.8258
AUS,TEACHERSALARY,PRY_TOP,USD,A,2020,67081.28179
AUT,TEACHERSALARY,PRY15YREXP,USD,A,2020,55141.73229
AUT,TEACHERSALARY,PRY_START,USD,A,2020,45892.47736
AUT,TEACHERSALARY,PRY_TOP,USD,A,2020,80386.02416
CAN,TEACHERSALARY,PRY15YREXP,USD,A,2020,71663.5687
CAN,TEACHERSALARY,PRY_START,USD,A,2020,40304.80128
CAN,TEACHERSALARY,PRY_TOP,USD,A,2020,71663.5687
CZE,TEACHERSALARY,PRY15YREXP,USD,A,2020,28181.64495
CZE,TEACHERSALARY,PRY_START,USD,A,2020,25388.86932
CZE,TEACHERSALARY,PRY_TOP,USD,A,2020,33259.41881
DNK,TEACHERSALARY,PRY15YREXP,USD,A,2020,60185.31096
DNK,TEACHERSALARY,PRY_START,USD,A,2020,52292.57108
DNK,TEACHERSALARY,PRY_TOP,USD,A,2020,60185.31096
FIN,TEACHERSALARY,PRY15YREXP,USD,A,2020,44179.77547
FIN,TEACHERSALARY,PRY_START,USD,A,2020,35864.97158
FIN,TEACHERSALARY,PRY_TOP,USD,A,2020,46830.562
FRA,TEACHERSALARY,PRY15YREXP,USD,A,2020,39048.94052
FRA,TEACHERSALARY,PRY_START,USD,A,2020,31803.02943
FRA,TEACHERSALARY,PRY_TOP,USD,A,2020,56008.90114
DEU,TEACHERSALARY,PRY15YREXP,USD,A,2020,80407.41209
DEU,TEACHERSALARY,PRY_START,USD,A,2020,65475.23639
DEU,TEACHERSALARY,PRY_TOP,USD,A,2020,86171.32596
GRC,TEACHERSALARY,PRY15YREXP,USD,A,2020,27335.49787
GRC,TEACHERSALARY,PRY_START,USD,A,2020,20643.40503
GRC,TEACHERSALARY,PRY_TOP,USD,A,2020,40719.68354
HUN,TEACHERSALARY,PRY15YREXP,USD,A,2020,19891.10282
HUN,TEACHERSALARY,PRY_START,USD,A,2020,15812.86923
HUN,TEACHERSALARY,PRY_TOP,USD,A,2020,28121.90398
ISL,TEACHERSALARY,PRY15YREXP,USD,A,2020,42024.09873
ISL,TEACHERSALARY,PRY_START,USD,A,2020,38855.50373
ISL,TEACHERSALARY,PRY_TOP,USD,A,2020,43125.24653
IRL,TEACHERSALARY,PRY15YREXP,USD,A,2020,62312.77657
IRL,TEACHERSALARY,PRY_START,USD,A,2020,37096.34026
IRL,TEACHERSALARY,PRY_TOP,USD,A,2020,71821.51835
ITA,TEACHERSALARY,PRY15YREXP,USD,A,2020,38983.73066
ITA,TEACHERSALARY,PRY_START,USD,A,2020,32480.97497
ITA,TEACHERSALARY,PRY_TOP,USD,A,2020,47287.20021
JPN,TEACHERSALARY,PRY15YREXP,USD,A,2020,49497.48426
JPN,TEACHERSALARY,PRY_START,USD,A,2020,29897.5728
JPN,TEACHERSALARY,PRY_TOP,USD,A,2020,61239.81323
KOR,TEACHERSALARY,PRY15YREXP,USD,A,2020,59103.2709
KOR,TEACHERSALARY,PRY_START,USD,A,2020,33477.40165
KOR,TEACHERSALARY,PRY_TOP,USD,A,2020,94108.43433
LUX,TEACHERSALARY,PRY15YREXP,USD,A,2020,101360.1427
LUX,TEACHERSALARY,PRY_START,USD,A,2020,69424.65646
LUX,TEACHERSALARY,PRY_TOP,USD,A,2020,122649.78
MEX,TEACHERSALARY,PRY15YREXP,USD,A,2020,33906.49453
