N,Disease_Name,Pathogen type,Pathogen_Name,Pathogen_Size,Pathogen_Size_Grouped,R0,Contagiousness category,Case_Fatality_Rate_Percent,Primary_Mode_of_Transmission 
1,Anthrax (untreated),bacterium,Bacillus anthracis,"4,000",1 µm < 10 µm,6.5,highly,20.00%,airborne
2,Bubonic plague (treated),bacterium,Yersinia pestis,"1,500",1 µm < 10 µm,1,not very,15.00%,bite
3,Bubonic plague (untreated),bacterium,Yersinia pestis,"1,500",1 µm < 10 µm,1,not very,60.00%,bite
4,C. difficile,bacterium,Clostridium difficile,"1,250",1 µm < 10 µm,1.3,quite,24.00%,fecal-oral
5,Campylobacter,bacterium,"Campylobacter, various species","4,000",1 µm < 10 µm,0.2,not very,1.20%,food
6,Chicken pox,virus,Varicella zoster,175,100 nm < 1 µm,8.5,highly,0.00%,airborne
7,Chikungunya,virus,Chikungunya virus,65,<100 nm,3.5,very,0.40%,bite
8,Cholera,bacterium,"Vibro cholerae, some strains","1,300",1 µm < 10 µm,2.1,quite,1.60%,
9,Common cold,virus,Many viral strains. Rhinoviruses most common.,30,<100 nm,6,highly,0.00%,airborne
10,Dengue fever,virus,Dengue fever virus,50,<100 nm,3,very,0.10%,bite
11,Diphtheria,bacterium,Corynebacterium diphtheriae,"4,000",1 µm < 10 µm,6.5,highly,7.50%,body fluids
12,E. coli,bacterium,Escherichia coli ,"2,000",1 µm < 10 µm,1.2,quite,4.00%,fecal-oral
13,Ebola,virus,"Ebolavirus, various species","14,000",10 µm < 100 µm,2.5,quite,50.00%,body fluids
14,Echinococcosis,parasite,Echinococcus granulosus and Echinococcus multilocularis (worms),"4,000,000",> 1 mm,1.5,quite,,parasite
15,Guinea worm disease (untreated),parasite,Dracunculus medinensis (worm),"1,000,000,000",> 1 mm,20,extremely,,waterborne
16,"Hand, foot and mouth",virus,Coxsackievirus A16,30,<100 nm,3.5,very,0.10%,body fluids
17,Hantavirus,virus,Hantavirus,140,100 nm < 1 µm,1.3,quite,36.00%,"airborne, fecal-oral"
18,Helminthiases,parasite,Any parasitic worm,"250,000,000",> 1 mm,2.9,quite,,fecal-oral
19,Hepatitis A,virus,Hepatitis A virus,30,<100 nm,1.3,quite,,fecal-oral
20,Hepatitis B,virus,Hepatitis B virus,42,<100 nm,4,very,0.80%,body fluids
21,HIV (treated),virus,Human immunodeficiency virus,120,100 nm < 1 µm,3.5,very,2.10%,sexual contact
