"International Category ID","International Category Name","International Sector Code","International Sector Name","Transaction Type ID","Transaction Type Name","Fiscal Year","current_amount","constant_amount"
1,Education,111,"Education, Level Unspecified",1,Appropriated and Planned,2006,5979000,7475246
1,Education,111,"Education, Level Unspecified",1,Appropriated and Planned,2007,6574000,8001212
1,Education,111,"Education, Level Unspecified",1,Appropriated and Planned,2008,6137000,7318068
1,Education,111,"Education, Level Unspecified",1,Appropriated and Planned,2009,9056000,10675448
1,Education,111,"Education, Level Unspecified",1,Appropriated and Planned,2010,14173000,16565116
1,Education,111,"Education, Level Unspecified",1,Appropriated and Planned,2011,23005000,26361752
1,Education,111,"Education, Level Unspecified",1,Appropriated and Planned,2012,23107000,25986132
1,Education,111,"Education, Level Unspecified",1,Appropriated and Planned,2013,30597000,33787692
1,Education,111,"Education, Level Unspecified",1,Appropriated and Planned,2014,21597000,23398831
1,Education,111,"Education, Level Unspecified",1,Appropriated and Planned,2015,9085000,9730468
1,Education,111,"Education, Level Unspecified",1,Appropriated and Planned,2016,39350000,41775710
1,Education,111,"Education, Level Unspecified",1,Appropriated and Planned,2017,39364000,41061826
1,Education,111,"Education, Level Unspecified",1,Appropriated and Planned,2018,41557000,42363127
1,Education,111,"Education, Level Unspecified",1,Appropriated and Planned,2019,30536000,30536000
1,Education,111,"Education, Level Unspecified",1,Appropriated and Planned,2020,23175000,22726374
1,Education,111,"Education, Level Unspecified",2,Obligations,2001,18340146,25833328
1,Education,111,"Education, Level Unspecified",2,Obligations,2002,74143080,102787605
1,Education,111,"Education, Level Unspecified",2,Obligations,2003,67047995,91285925
1,Education,111,"Education, Level Unspecified",2,Obligations,2004,151898654,201968820
1,Education,111,"Education, Level Unspecified",2,Obligations,2005,223611945,288519964
1,Education,111,"Education, Level Unspecified",2,Obligations,2006,192971316,241262421
1,Education,111,"Education, Level Unspecified",2,Obligations,2007,225750698,274761082
1,Education,111,"Education, Level Unspecified",2,Obligations,2008,234690061,279856266
1,Education,111,"Education, Level Unspecified",2,Obligations,2009,286633544,337891071
1,Education,111,"Education, Level Unspecified",2,Obligations,2010,145624859,170203403
1,Education,111,"Education, Level Unspecified",2,Obligations,2011,115855962,132760969
1,Education,111,"Education, Level Unspecified",2,Obligations,2012,116449519,130959129
1,Education,111,"Education, Level Unspecified",2,Obligations,2013,127210178,140475810
1,Education,111,"Education, Level Unspecified",2,Obligations,2014,224043681,242735575
1,Education,111,"Education, Level Unspecified",2,Obligations,2015,166047317,177844583
1,Education,111,"Education, Level Unspecified",2,Obligations,2016,208724424,221591135
1,Education,111,"Education, Level Unspecified",2,Obligations,2017,127458405,132955866
1,Education,111,"Education, Level Unspecified",2,Obligations,2018,133993766,136592991
1,Education,111,"Education, Level Unspecified",2,Obligations,2019,63317885,63317885
1,Education,111,"Education, Level Unspecified",2,Obligations,2020,72493516,71090169
1,Education,111,"Education, Level Unspecified",2,Obligations,2021,7501992,7212736
1,Education,111,"Education, Level Unspecified",3,Disbursements,2001,34750376,48948239
1,Education,111,"Education, Level Unspecified",3,Disbursements,2002,37857776,52483801
1,Education,111,"Education, Level Unspecified",3,Disbursements,2003,65291142,88893964
1,Education,111,"Education, Level Unspecified",3,Disbursements,2004,115116864,153062689
1,Education,111,"Education, Level Unspecified",3,Disbursements,2005,216193809,278948548
1,Education,111,"Education, Level Unspecified",3,Disbursements,2006,187032372,233837257
1,Education,111,"Education, Level Unspecified",3,Disbursements,2007,269249946,327703998
1,Education,111,"Education, Level Unspecified",3,Disbursements,2008,279351845,333113224
1,Education,111,"Education, Level Unspecified",3,Disbursements,2009,208254044,245495275
1,Education,111,"Education, Level Unspecified",3,Disbursements,2010,122748797,143466331
1,Education,111,"Education, Level Unspecified",3,Disbursements,2011,124360012,142505873
1,Education,111,"Education, Level Unspecified",3,Disbursements,2012,123416542,138794255
1,Education,111,"Education, Level Unspecified",3,Disbursements,2013,110706720,122251350
1,Education,111,"Education, Level Unspecified",3,Disbursements,2014,189595032,205412894
1,Education,111,"Education, Level Unspecified",3,Disbursements,2015,187738762,201077151
1,Education,111,"Education, Level Unspecified",3,Disbursements,2016,158703406,168486590
1,Education,111,"Education, Level Unspecified",3,Disbursements,2017,142439729,148583359
1,Education,111,"Education, Level Unspecified",3,Disbursements,2018,115386147,117624421
1,Education,111,"Education, Level Unspecified",3,Disbursements,2019,165364417,165364417
1,Education,111,"Education, Level Unspecified",3,Disbursements,2020,77624663,76121982
1,Education,111,"Education, Level Unspecified",3,Disbursements,2021,36108790,34716547
1,Education,111,"Education, Level Unspecified",18,President's Budget Requests,2008,7720000,9205718
1,Education,111,"Education, Level Unspecified",18,President's Budget Requests,2009,6729000,7932320
1,Education,111,"Education, Level Unspecified",18,President's Budget Requests,2010,5162000,6033242
1,Education,111,"Education, Level Unspecified",18,President's Budget Requests,2011,13505000,15475569
1,Education,111,"Education, Level Unspecified",18,President's Budget Requests,2012,18471000,20772487
1,Education,111,"Education, Level Unspecified",18,President's Budget Requests,2013,14829000,16375386
1,Education,111,"Education, Level Unspecified",18,President's Budget Requests,2014,39760000,43077164
1,Education,111,"Education, Level Unspecified",18,President's Budget Requests,2015,27102000,29027533
1,Education,111,"Education, Level Unspecified",18,President's Budget Requests,2016,26447000,28077312
1,Education,111,"Education, Level Unspecified",18,President's Budget Requests,2017,19962000,20822990
1,Education,111,"Education, Level Unspecified",18,President's Budget Requests,2018,8444000,8607797
1,Education,111,"Education, Level Unspecified",18,President's Budget Requests,2019,19958000,19958000
1,Education,111,"Education, Level Unspecified",18,President's Budget Requests,2020,18027000,17678029
1,Education,111,"Education, Level Unspecified",18,President's Budget Requests,2021,25500000,24516800
1,Education,111,"Education, Level Unspecified",18,President's Budget Requests,2022,47211000,44496723
1,Education,111,"Education, Level Unspecified",19,Initial Allocations,2008,4988000,5947943
1,Education,111,"Education, Level Unspecified",19,Initial Allocations,2009,8914000,10508054
1,Education,111,"Education, Level Unspecified",19,Initial Allocations,2010,8491000,9924109
1,Education,111,"Education, Level Unspecified",19,Initial Allocations,2011,22398000,25666182
1,Education,111,"Education, Level Unspecified",19,Initial Allocations,2012,124353000,139847384
1,Education,111,"Education, Level Unspecified",19,Initial Allocations,2013,30597000,33787692
1,Education,111,"Education, Level Unspecified",19,Initial Allocations,2014,20111000,21788854
1,Education,111,"Education, Level Unspecified",19,Initial Allocations,2015,11375000,12183167
1,Education,111,"Education, Level Unspecified",19,Initial Allocations,2016,17150000,18207203
1,Education,111,"Education, Level Unspecified",19,Initial Allocations,2017,29364000,30630512
