Series Name,Series Code,Country Name,Country Code,1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1980 [YR1980],1985 [YR1985],1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2020 [YR2020]
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Afghanistan,AFG,44439998.626709,55180000.3051758,55720001.2207031,48909999.8474121,66980003.3569336,28600000.3814697,16319999.6948242,122720001.220703,212529998.779297,136009994.506836,2815100097.65625,6235319824.21875,4274229980.46875,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Albania,ALB,..,..,..,..,..,..,..,11050000.1907349,180600006.103516,317850006.103516,315079986.572266,365070007.324219,335160003.662109,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Algeria,DZA,120989997.86377,110300003.051758,125089996.337891,128330001.831055,235270004.272461,205160003.662109,172149993.896484,331649993.896484,295739990.234375,199960006.713867,347380004.882813,201250000,71129997.253418,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Angola,AGO,..,90000.0035762787,159999.996423721,370000.004768372,4760000.22888184,52439998.626709,90489997.8637695,265769989.013672,416420013.427734,302209991.455078,414679992.675781,235169998.168945,380059997.558594,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Antigua and Barbuda,ATG,..,..,9999.99977648258,3000000,2059999.94277954,5500000,2950000.04768372,4610000.1335144,2269999.98092651,9880000.11444092,8060000.4196167,19659999.8474121,1490000.00953674,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Argentina,ARG,4980000.01907349,1889999.98569489,13560000.4196167,15949999.8092651,12000000,43680000.3051758,39080001.8310547,171630004.882813,148179992.675781,74559997.5585938,93870002.746582,130309997.558594,-18870000.8392334,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Armenia,ARM,..,..,..,..,..,..,..,..,217710006.713867,215889999.389648,172619995.117188,320320007.324219,347480010.986328,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Aruba,ABW,..,..,..,..,..,..,12039999.961853,29979999.5422363,25799999.2370605,11500000,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Azerbaijan,AZE,..,..,..,..,..,..,..,..,119540000.915527,140610000.610352,210399993.896484,156479995.727539,69580001.8310547,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,"Bahamas, The",BHS,250000,1220000.02861023,479999.989271164,519999.980926514,660000.026226044,1419999.95708466,699999.988079071,3150000.09536743,4389999.8664856,5469999.79019165,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Bahrain,BHR,4699999.80926514,2839999.91416931,14239999.7711182,37689998.626709,25860000.6103516,206529998.779297,74059997.5585938,137500000,99870002.746582,60430000.3051758,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Bangladesh,BGD,15359999.6566772,223759994.506836,421470001.220703,531390014.648438,1055180053.71094,1229310058.59375,982750000,1788900024.41406,1033109985.35156,976340026.855469,1251619995.11719,1327329956.05469,2592909912.10938,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Barbados,BRB,4570000.17166138,4699999.80926514,4639999.8664856,3589999.91416931,4320000.17166138,7110000.1335144,6050000.19073486,2279999.97138977,509999.990463257,1799999.95231628,-629999.995231628,15579999.9237061,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Belarus,BLR,..,..,..,..,..,..,..,..,222720001.220703,35959999.0844727,58009998.3215332,136259994.506836,104580001.831055,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Belize,BLZ,5070000.17166138,4010000.22888184,4670000.07629395,6219999.79019165,8710000.03814697,14500000,21930000.3051758,30319999.6948242,18829999.9237061,16149999.6185303,11720000.2670288,24200000.7629395,28270000.4577637,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Benin,BEN,28979999.5422363,20040000.9155273,26479999.5422363,33069999.6948242,54110000.6103516,88230003.3569336,93910003.6621094,266880004.882813,280559997.558594,244770004.272461,349079986.572266,689270019.53125,436630004.882813,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Bermuda,BMU,..,9999.99977648258,..,29999.9993294477,19999.9995529652,280000.001192093,939999.997615814,42189998.626709,-2079999.92370605,59999.9986588955,..,..,..,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Bhutan,BTN,140000.000596046,189999.997615814,519999.980926514,610000.014305115,2099999.90463257,8060000.4196167,20649999.6185303,41450000.7629395,69459999.0844727,47099998.4741211,78769996.6430664,97239997.8637695,97279998.7792969,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Bolivia,BOL,32020000.4577637,47720001.2207031,24090000.1525879,54000000,47400001.5258789,137940002.441406,159199996.948242,485040008.544922,678820007.324219,426079986.572266,542880004.882813,560270019.53125,791309997.558594,..
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,9999.99977648258,965799987.792969,737929992.675781,539890014.648438,511179992.675781,356390014.648438,..
