id,num,gravity,class,chapter,cat,sub-cat,related,content
1,Pr 1,4,Pārājika,,Right Action,Sexuality,"Sg 2, Sg 4",Engaging in Sexual Intercourse
2,Pr 2,4,Pārājika,,Right Action,Stealing,,Stealing Something Worth 1/24 Oz. T. of Gold or More
3,Pr 3,4,Pārājika,,Right Action,Killing,"Pc 20, Pc 61, Pc 62, Pc 74",Intentionally Causing the Death of a Human Being
4,Pr 4,4,Pārājika,,Right Livelyhood,General,"Sg 8, Pc 1, Pc 8",Falsely Claiming a Superior Human State
5,Sg 1,3,Saṅghādisesa,,Right Action,Sexuality,,Intentionally Ejaculating
6,Sg 2,3,Saṅghādisesa,,Right Action,Sexuality,"Pr 1, Pc 52, Pc 74",Lustfully Touching a Woman
7,Sg 3,3,Saṅghādisesa,,Right Action,Sexuality,Pc 2,Speaking Obscenely to a Woman
8,Sg 4,3,Saṅghādisesa,,Right Action,Sexuality,Sg 3,Ecouraging a Woman to Have Sex with a Monk
9,Sg 5,3,Saṅghādisesa,,Right Livelyhood,General,,Arranging a Sexual Liaison
10,Sg 6,3,Saṅghādisesa,,Right Livelyhood,Lodging,"Sg 7, Pc 10, Pc 11, Pc 19, Pc 61",Having an Oversized Hut Built for Oneself
11,Sg 7,3,Saṅghādisesa,,Right Livelyhood,Lodging,,Building a Monastery Dwelling at an Inappropriate Site
12,Sg 8,3,Saṅghādisesa,,Right speech,Lying,"Sg 9, Sg 12, Pc 1, Pc 2, Pc 12, Pc 54, Pc 64, Pc 71, Pc 76",Groundlessly Accusing a Monk of a Pārājika
13,Sg 9,3,Saṅghādisesa,,Right speech,Lying,Sg 8,Misleadingly Accusing a Monk of a Pārājika
14,Sg 10,3,Saṅghādisesa,,Communal Harmony,,,Attempting to Cause a Schism in the Saṅgha
15,Sg 11,3,Saṅghādisesa,,Communal Harmony,,,Allying with a Schismatic Monk
