"year","topic","value","rank","color"
1995,"Arbeitslosigkeit",70,1,"#e31f2b"
1997,"Arbeitslosigkeit",81,1,"#e31f2b"
1999,"Arbeitslosigkeit",57,1,"#e31f2b"
2001,"Arbeitslosigkeit",45,2,"#e31f2b"
2003,"Arbeitslosigkeit",67,1,"#e31f2b"
2005,"Arbeitslosigkeit",71,1,"#e31f2b"
2007,"Arbeitslosigkeit",57,1,"#e31f2b"
2009,"Arbeitslosigkeit",66,1,"#e31f2b"
2011,"Arbeitslosigkeit",52,1,"#e31f2b"
2013,"Arbeitslosigkeit",44,1,"#e31f2b"
2015,"Arbeitslosigkeit",56,1,"#e31f2b"
2017,"Arbeitslosigkeit",44,2,"#e31f2b"
1995,"AHV / Altersvorsorge",40,3,"#1e8ce3"
1997,"AHV / Altersvorsorge",39,3,"#1e8ce3"
1999,"AHV / Altersvorsorge",45,4,"#1e8ce3"
2001,"AHV / Altersvorsorge",37,3,"#1e8ce3"
2003,"AHV / Altersvorsorge",59,3,"#1e8ce3"
2005,"AHV / Altersvorsorge",45,3,"#1e8ce3"
2007,"AHV / Altersvorsorge",45,2,"#1e8ce3"
2009,"AHV / Altersvorsorge",36,2,"#1e8ce3"
2011,"AHV / Altersvorsorge",27,5,"#1e8ce3"
2013,"AHV / Altersvorsorge",29,3,"#1e8ce3"
2015,"AHV / Altersvorsorge",38,3,"#1e8ce3"
2017,"AHV / Altersvorsorge",44,1,"#1e8ce3"
1995,"Gesundheit, Krankenkassen",32,5,"#d9d9d9"
1997,"Gesundheit, Krankenkassen",52,2,"#d9d9d9"
1999,"Gesundheit, Krankenkassen",48,3,"#d9d9d9"
2001,"Gesundheit, Krankenkassen",64,1,"#d9d9d9"
2003,"Gesundheit, Krankenkassen",63,2,"#d9d9d9"
2005,"Gesundheit, Krankenkassen",51,2,"#d9d9d9"
2007,"Gesundheit, Krankenkassen",38,3,"#d9d9d9"
2009,"Gesundheit, Krankenkassen",36,3,"#d9d9d9"
2011,"Gesundheit, Krankenkassen",30,3,"#d9d9d9"
2013,"Gesundheit, Krankenkassen",21,6,"#d9d9d9"
2015,"Gesundheit, Krankenkassen",22,7,"#d9d9d9"
2017,"Gesundheit, Krankenkassen",26,4,"#d9d9d9"
