Id,Date,Month,Year,Army,Disease,Wounds,Other,Disease_Rate,Wounds_Rate,Other_Rate
1,1854-04-01,Apr,1854,8571,1,1,50,500,0,7
2,1854-05-01,May,1854,23333,12,100,50,500,0,4.6
3,1854-06-01,Jun,1854,28333,11,100,50,500,64.5,2.5
4,1854-07-01,Jul,1854,32393,359,100,50,500,64.5,9.6
5,1854-08-01,Aug,1854,32393,828,100,50,500,64.5,9.6
6,1854-09-01,Sep,1854,32393,788,100,50,500,64.5,9.6
7,1854-10-01,Oct,1854,32393,788,100,50,500,64.5,9.6
8,1854-11-01,Nov,1854,32393,788,100,50,500,64.5,9.6
9,1854-12-01,Dec,1854,32779,1725,114,131,631.5,41.7,48
10,1855-01-01,Jan,1855,32393,2761,83,324,1022.8,30.7,120
11,1855-02-01,Feb,1855,30919,2120,42,361,822.8,16.3,140.1
12,1855-03-01,Mar,1855,30107,1205,32,172,480.3,12.8,68.6
13,1855-04-01,Apr,1855,32252,477,48,57,177.5,17.9,21.2
14,1855-05-01,May,1855,35473,508,49,37,171.8,16.6,12.5
15,1855-06-01,Jun,1855,38863,802,209,31,247.6,64.5,9.6
16,1855-07-01,Jul,1855,46852,788,100,50,500,37.7,9.6
17,1855-08-01,Aug,1855,46852,788,100,50,500,44.1,9.6
18,1855-09-01,Sep,1855,46852,788,100,50,500,69.4,9.6
19,1855-10-01,Oct,1855,46852,788,100,50,500,13.6,9.6
20,1855-11-01,Nov,1855,37853,788,100,50,500,10.5,9.6
21,1855-12-01,Dec,1855,43217,91,100,50,500,5,9.6
22,1856-01-01,Jan,1856,44212,42,100,50,500,0.5,9.6
23,1856-02-01,Feb,1856,43485,24,0,50,500,0,9.6
24,1856-03-01,Mar,1856,46140,15,0,50,500,0,9.1
