year,value,country
1951,0,Afghanistan
1951,0,Angola
1951,0,Azerbaijan
1951,0,Bosnia and Herzegovina
1951,0,Burundi
1951,0,Colombia
1951,0,D. R. Congo
1951,0,Ethiopia
1951,0,Iraq
1951,0,Liberia
1951,0,Myanmar
1951,0,Pakistan
1951,0,Russia
1951,0,Rwanda
1951,0,Somalia
1951,0,Stateless
1951,0,Sudan
1951,0,Syria
1951,1957211,Various/Unknown
1951,0,Viet Nam
1952,0,Afghanistan
1952,0,Angola
1952,0,Azerbaijan
1952,0,Bosnia and Herzegovina
1952,0,Burundi
1952,0,Colombia
1952,0,D. R. Congo
1952,0,Ethiopia
1952,0,Iraq
1952,0,Liberia
1952,0,Myanmar
1952,0,Pakistan
1952,0,Russia
1952,0,Rwanda
1952,0,Somalia
1952,0,Stateless
1952,0,Sudan
1952,0,Syria
1952,1787928,Various/Unknown
1952,0,Viet Nam
1953,0,Afghanistan
1953,0,Angola
1953,0,Azerbaijan
1953,0,Bosnia and Herzegovina
1953,0,Burundi
1953,0,Colombia
1953,0,D. R. Congo
1953,0,Ethiopia
1953,0,Iraq
1953,0,Liberia
1953,0,Myanmar
1953,0,Pakistan
1953,0,Russia
1953,0,Rwanda
1953,0,Somalia
1953,0,Stateless
1953,0,Sudan
1953,0,Syria
1953,1679304,Various/Unknown
1953,0,Viet Nam
1954,0,Afghanistan
1954,0,Angola
1954,0,Azerbaijan
1954,0,Bosnia and Herzegovina
1954,0,Burundi
1954,0,Colombia
1954,0,D. R. Congo
1954,0,Ethiopia
1954,0,Iraq
1954,0,Liberia
1954,0,Myanmar
1954,0,Pakistan
1954,0,Russia
1954,0,Rwanda
1954,0,Somalia
1954,0,Stateless
1954,0,Sudan
1954,0,Syria
1954,1581628,Various/Unknown
1954,0,Viet Nam
1955,0,Afghanistan
1955,0,Angola
1955,0,Azerbaijan
1955,0,Bosnia and Herzegovina
1955,0,Burundi
1955,0,Colombia
1955,0,D. R. Congo
1955,0,Ethiopia
1955,0,Iraq
1955,0,Liberia
1955,0,Myanmar
1955,0,Pakistan
1955,0,Russia
1955,0,Rwanda
1955,0,Somalia
1955,0,Stateless
1955,0,Sudan
1955,0,Syria
1955,1547066,Various/Unknown
1955,0,Viet Nam
1956,0,Afghanistan
1956,0,Angola
1956,0,Azerbaijan
1956,0,Bosnia and Herzegovina
1956,0,Burundi
1956,0,Colombia
1956,0,D. R. Congo
1956,0,Ethiopia
1956,0,Iraq
1956,0,Liberia
1956,0,Myanmar
1956,0,Pakistan
1956,0,Russia
1956,0,Rwanda
1956,0,Somalia
1956,0,Stateless
1956,0,Sudan
1956,0,Syria
1956,1600875,Various/Unknown
1956,0,Viet Nam
1957,0,Afghanistan
1957,0,Angola
1957,0,Azerbaijan
1957,0,Bosnia and Herzegovina
1957,0,Burundi
1957,0,Colombia
1957,0,D. R. Congo
1957,0,Ethiopia
1957,0,Iraq
1957,0,Liberia
1957,0,Myanmar
1957,0,Pakistan
1957,0,Russia
1957,0,Rwanda
1957,0,Somalia
1957,0,Stateless
1957,0,Sudan
1957,0,Syria
1957,1582814,Various/Unknown
1957,0,Viet Nam
1958,0,Afghanistan
1958,0,Angola
1958,0,Azerbaijan
1958,0,Bosnia and Herzegovina
1958,0,Burundi
1958,0,Colombia
1958,0,D. R. Congo
1958,0,Ethiopia
1958,0,Iraq
1958,0,Liberia
1958,0,Myanmar
1958,0,Pakistan
1958,0,Russia
1958,0,Rwanda
1958,0,Somalia
1958,0,Stateless
1958,0,Sudan
1958,0,Syria
1958,1545310,Various/Unknown
1958,0,Viet Nam
1959,0,Afghanistan
1959,0,Angola
1959,0,Azerbaijan
1959,0,Bosnia and Herzegovina
1959,0,Burundi
1959,0,Colombia
1959,0,D. R. Congo
1959,0,Ethiopia
1959,0,Iraq
1959,0,Liberia
1959,0,Myanmar
1959,0,Pakistan
1959,0,Russia
1959,0,Rwanda
1959,0,Somalia
1959,0,Stateless
1959,0,Sudan
1959,0,Syria
1959,1520185,Various/Unknown
1959,0,Viet Nam
1960,0,Afghanistan
1960,150000,Angola
1960,0,Azerbaijan
1960,0,Bosnia and Herzegovina
1960,0,Burundi
1960,0,Colombia
1960,0,D. R. Congo
1960,0,Ethiopia
1960,0,Iraq
1960,0,Liberia
1960,0,Myanmar
1960,0,Pakistan
1960,0,Russia
1960,0,Rwanda
1960,0,Somalia
1960,0,Stateless
1960,0,Sudan
1960,0,Syria
1960,1354664,Various/Unknown
1960,0,Viet Nam
1961,0,Afghanistan
1961,150000,Angola
1961,0,Azerbaijan
1961,0,Bosnia and Herzegovina
1961,0,Burundi
1961,0,Colombia
1961,0,D. R. Congo
1961,0,Ethiopia
1961,0,Iraq
1961,0,Liberia
1961,0,Myanmar
1961,0,Pakistan
1961,0,Russia
1961,147000,Rwanda
1961,0,Somalia
1961,0,Stateless
1961,0,Sudan
1961,0,Syria
1961,1339867,Various/Unknown
1961,0,Viet Nam
1962,0,Afghanistan
1962,170000,Angola
1962,0,Azerbaijan
1962,0,Bosnia and Herzegovina
1962,0,Burundi
1962,0,Colombia
1962,0,D. R. Congo
1962,0,Ethiopia
1962,0,Iraq
1962,0,Liberia
1962,0,Myanmar
1962,0,Pakistan
1962,0,Russia
1962,147000,Rwanda
1962,0,Somalia
1962,0,Stateless
1962,0,Sudan
1962,0,Syria
1962,1301322,Various/Unknown
1962,0,Viet Nam
1963,0,Afghanistan
1963,175000,Angola
1963,0,Azerbaijan
1963,0,Bosnia and Herzegovina
1963,0,Burundi
1963,0,Colombia
1963,0,D. R. Congo
1963,0,Ethiopia
1963,0,Iraq
1963,0,Liberia
1963,0,Myanmar
1963,0,Pakistan
1963,0,Russia
1963,154000,Rwanda
1963,0,Somalia
1963,0,Stateless
1963,13000,Sudan
1963,0,Syria
1963,1203603,Various/Unknown
1963,0,Viet Nam
1964,0,Afghanistan
1964,200000,Angola
1964,0,Azerbaijan
1964,0,Bosnia and Herzegovina
1964,0,Burundi
1964,0,Colombia
1964,58700,D. R. Congo
1964,0,Ethiopia
1964,0,Iraq
1964,0,Liberia
1964,0,Myanmar
1964,0,Pakistan
1964,120,Russia
1964,166300,Rwanda
1964,0,Somalia
1964,0,Stateless
1964,20300,Sudan
1964,0,Syria
1964,1203229,Various/Unknown
1964,10000,Viet Nam
1965,0,Afghanistan
1965,220000,Angola
1965,0,Azerbaijan
1965,0,Bosnia and Herzegovina
1965,4000,Burundi
1965,0,Colombia
1965,47000,D. R. Congo
1965,0,Ethiopia
1965,0,Iraq
1965,0,Liberia
1965,0,Myanmar
1965,0,Pakistan
1965,0,Russia
1965,162700,Rwanda
1965,0,Somalia
1965,0,Stateless
1965,81560,Sudan
1965,0,Syria
1965,1267635,Various/Unknown
1965,15000,Viet Nam
1966,0,Afghanistan
1966,304900,Angola
1966,0,Azerbaijan
1966,0,Bosnia and Herzegovina
1966,250,Burundi
1966,0,Colombia
1966,74800,D. R. Congo
1966,0,Ethiopia
1966,0,Iraq
1966,0,Liberia
1966,0,Myanmar
1966,0,Pakistan
1966,17970,Russia
1966,160300,Rwanda
1966,0,Somalia
1966,0,Stateless
1966,116000,Sudan
1966,0,Syria
1966,1198653,Various/Unknown
1966,17000,Viet Nam
1967,0,Afghanistan
1967,356200,Angola
1967,0,Azerbaijan
1967,0,Bosnia and Herzegovina
1967,0,Burundi
1967,0,Colombia
1967,81890,D. R. Congo
1967,28600,Ethiopia
1967,0,Iraq
1967,0,Liberia
1967,0,Myanmar
1967,0,Pakistan
1967,0,Russia
1967,160230,Rwanda
1967,0,Somalia
1967,0,Stateless
