"Year","Month","DATE","COUNT"
2014,1,"2014-01-01",4
2014,1,"2014-01-03",3
2014,1,"2014-01-04",2
2014,1,"2014-01-05",3
2014,1,"2014-01-07",1
2014,1,"2014-01-08",2
2014,1,"2014-01-09",2
2014,1,"2014-01-10",2
2014,1,"2014-01-11",4
2014,1,"2014-01-12",1
2014,1,"2014-01-13",1
2014,1,"2014-01-14",2
2014,1,"2014-01-15",3
2014,1,"2014-01-17",2
2014,1,"2014-01-18",3
2014,1,"2014-01-22",1
2014,1,"2014-01-25",2
2014,1,"2014-01-27",4
2014,1,"2014-01-28",3
2014,1,"2014-01-29",1
2014,1,"2014-01-31",3
2014,2,"2014-02-01",1
2014,2,"2014-02-02",1
2014,2,"2014-02-03",1
2014,2,"2014-02-04",2
2014,2,"2014-02-07",3
2014,2,"2014-02-11",1
2014,2,"2014-02-12",1
2014,2,"2014-02-14",1
2014,2,"2014-02-15",1
2014,2,"2014-02-16",3
2014,2,"2014-02-17",1
2014,2,"2014-02-19",3
2014,2,"2014-02-20",1
2014,2,"2014-02-23",5
2014,2,"2014-02-24",2
2014,2,"2014-02-25",1
2014,2,"2014-02-27",1
2014,3,"2014-03-01",1
2014,3,"2014-03-02",2
2014,3,"2014-03-03",2
2014,3,"2014-03-04",1
2014,3,"2014-03-05",4
2014,3,"2014-03-06",2
2014,3,"2014-03-07",2
2014,3,"2014-03-08",5
2014,3,"2014-03-10",5
2014,3,"2014-03-11",1
2014,3,"2014-03-12",1
2014,3,"2014-03-14",2
2014,3,"2014-03-15",1
2014,3,"2014-03-16",2
2014,3,"2014-03-18",2
2014,3,"2014-03-19",4
2014,3,"2014-03-20",2
2014,3,"2014-03-21",1
2014,3,"2014-03-23",2
2014,3,"2014-03-24",1
2014,3,"2014-03-25",4
2014,3,"2014-03-27",3
2014,3,"2014-03-28",1
2014,3,"2014-03-29",1
2014,3,"2014-03-30",3
2014,3,"2014-03-31",2
2014,4,"2014-04-01",7
2014,4,"2014-04-02",2
2014,4,"2014-04-03",4
2014,4,"2014-04-04",3
2014,4,"2014-04-05",2
2014,4,"2014-04-06",2
2014,4,"2014-04-07",4
2014,4,"2014-04-08",5
2014,4,"2014-04-09",6
2014,4,"2014-04-10",7
2014,4,"2014-04-11",10
2014,4,"2014-04-12",6
2014,4,"2014-04-13",5
2014,4,"2014-04-14",1
2014,4,"2014-04-15",3
2014,4,"2014-04-16",3
2014,4,"2014-04-17",9
2014,4,"2014-04-18",11
2014,4,"2014-04-19",7
2014,4,"2014-04-20",6
2014,4,"2014-04-21",6
2014,4,"2014-04-22",9
2014,4,"2014-04-23",3
2014,4,"2014-04-24",1
2014,4,"2014-04-25",6
2014,4,"2014-04-26",3
2014,4,"2014-04-27",3
2014,4,"2014-04-28",6
2014,4,"2014-04-30",6
2014,5,"2014-05-01",6
2014,5,"2014-05-02",4
2014,5,"2014-05-03",2
2014,5,"2014-05-04",7
2014,5,"2014-05-05",10
2014,5,"2014-05-06",7
2014,5,"2014-05-07",13
2014,5,"2014-05-08",11
2014,5,"2014-05-09",13
2014,5,"2014-05-10",10
2014,5,"2014-05-11",10
2014,5,"2014-05-12",16
2014,5,"2014-05-13",11
2014,5,"2014-05-14",8
2014,5,"2014-05-15",12
2014,5,"2014-05-16",10
2014,5,"2014-05-17",4
2014,5,"2014-05-18",8
2014,5,"2014-05-19",7
2014,5,"2014-05-20",7
2014,5,"2014-05-21",18
2014,5,"2014-05-22",13
2014,5,"2014-05-23",11
2014,5,"2014-05-24",14
2014,5,"2014-05-25",16
2014,5,"2014-05-26",12
2014,5,"2014-05-27",17
2014,5,"2014-05-28",16
2014,5,"2014-05-29",6
2014,5,"2014-05-30",17
2014,5,"2014-05-31",9
2014,6,"2014-06-01",21
2014,6,"2014-06-02",18
2014,6,"2014-06-03",21
2014,6,"2014-06-04",18
2014,6,"2014-06-05",9
2014,6,"2014-06-06",15
2014,6,"2014-06-07",14
2014,6,"2014-06-08",22
2014,6,"2014-06-09",21
2014,6,"2014-06-10",16
2014,6,"2014-06-11",16
2014,6,"2014-06-12",26
2014,6,"2014-06-13",24
2014,6,"2014-06-14",18
2014,6,"2014-06-15",18
2014,6,"2014-06-16",16
2014,6,"2014-06-17",19
2014,6,"2014-06-18",14
2014,6,"2014-06-19",11
2014,6,"2014-06-20",29
2014,6,"2014-06-21",21
2014,6,"2014-06-22",32
2014,6,"2014-06-23",14
2014,6,"2014-06-24",16
2014,6,"2014-06-25",13
2014,6,"2014-06-26",15
2014,6,"2014-06-27",11
