Rank,Country,Overall Power,Expected Power,Power Gap
#1,United States,85,84.8,0.2
#2,China,75.5,78.6,-3
#3,Japan,42.1,31.1,11
#4,India,41.5,43.8,-2.3
#5,Russia,33.3,39.7,-6.4
#6,Australia,32.5,25.4,7.2
#7,South Korea,30.7,25.3,5.4
#8,Singapore,27.9,20.4,7.5
#9,Malaysia,20.6,16.7,3.9
#10,Indonesia,20,20.9,-1
#11,Thailand,19.2,16.3,2.9
#12,New Zealand,18.9,17.1,1.8
#13,Vietnam,16.5,16.2,0.3
#14,Pakistan,15.1,18.2,-3.1
#15,Taiwan,14.9,18.8,-3.9
#16,Philippines,12.4,11,1.4
#17,North Korea,11.4,18.3,-6.9
#18,Bangladesh,8.7,10.9,-2.2
#19,Brunei,8.2,9.4,-1.2
#20,Myanmar,7.6,9.4,-1.8
#21,Sri Lanka,7.6,10.8,-3.2
#22,Cambodia,6.1,6.7,-0.6
#23,Mongolia,5,7.3,-2.3
#24,Laos,4.8,6.1,-1.3
#25,Nepal,3.1,5.6,-2.5
