Rank,Jurisdiction,FSI - Value6,FSI Share7,Secrecy Score4,Global Scale Weight5
78,Tunisia,147.48,0.43%,66,0.01%
79,Indonesia,143.84,0.42%,51,0.13%
80,Mexico,139.81,0.41%,53,0.09%
81, Bahrain2,137.99,0.41%,62,0.02%
82,Chile,135.12,0.40%,56,0.05%
83,Costa Rica,132.24,0.39%,62,0.02%
84,Iceland,129.31,0.38%,57,0.03%
85,El Salvador,123.12,0.36%,64,0.01%
86,Samoa,120.86,0.35%,75,0.00%
87,Finland,119.34,0.35%,52,0.06%
88,Paraguay,117.59,0.35%,77,0.00%
89,US Virgin Islands,117.03,0.34%,74,0.00%
90,Uruguay,115.47,0.34%,57,0.02%
91,Bolivia,114.74,0.34%,79,0.00%
92,Turks and Caicos Islands,114.32,0.34%,78,0.00%
93,Croatia,112.33,0.33%,55,0.03%
94,Argentina,109.37,0.32%,55,0.03%
95,Seychelles,108.53,0.32%,70,0.00%
96, Curacao2,103.6,0.30%,75,0.00%
97, Denmark2,103.52,0.30%,45,0.14%
98, Tanzania2,100.62,0.30%,71,0.00%
99,Rwanda,100.47,0.30%,63,0.01%
100,Pakistan,97.92,0.29%,55,0.02%
101,Peru,96.18,0.28%,57,0.01%
102,Colombia,92.25,0.27%,56,0.01%
103,Greece,91.65,0.27%,51,0.03%
104,Slovakia,91.29,0.27%,51,0.03%
105,Lithuania,89.83,0.26%,50,0.04%
106, Vanuatu2,88.59,0.26%,76,0.00%
107,Dominican Republic,86.68,0.25%,59,0.01%
108,Kazakhstan,82.3,0.24%,64,0.00%
109,Monaco,79.9,0.23%,70,0.00%
110, Belize2,78.07,0.23%,74,0.00%
111, Liberia2,77.59,0.23%,78,0.00%
112, Aruba2,76.65,0.23%,73,0.00%
113, Botswana2,58.37,0.17%,62,0.00%
114,St. Vincent and the Grenadines,57.72,0.17%,66,0.00%
115,Bulgaria,57.53,0.17%,49,0.01%
116,North Macedonia,54.86,0.16%,64,0.00%
117, Ghana2,54.47,0.16%,52,0.01%
118,Dominica,53.75,0.16%,74,0.00%
119,Montenegro,53.65,0.16%,60,0.00%
120,Ecuador,50.66,0.15%,47,0.01%
121,Estonia,46.03,0.14%,43,0.02%
122,Antigua and Barbuda,39.05,0.11%,76,0.00%
123,Andorra,38.84,0.11%,58,0.00%
124, Gambia2,37.72,0.11%,75,0.00%
125,Brunei,34.62,0.10%,78,0.00%
126,Grenada,34.56,0.10%,71,0.00%
127,Trinidad and Tobago,29.63,0.09%,65,0.00%
128,Slovenia,27.48,0.08%,38,0.01%
129,San Marino,20.82,0.06%,60,0.00%
130,Montserrat,15.43,0.05%,75,0.00%
131,Nauru,13.79,0.04%,60,0.00%
132,St. Lucia,12.25,0.04%,71,0.00%
133,Cook Islands,12.09,0.04%,70,0.00%
