country,state,county,lat,lng,type,measure,beds,population,year,source,source_url
AF,,,33.0,65.0,TOTAL,1000HAB,0.5,31161376,2012,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
AO,,,-12.5,18.5,TOTAL,1000HAB,0.8,19433602,2005,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
AL,,,41.0,20.0,TOTAL,1000HAB,2.6,2900401,2012,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
AD,,,42.5,1.5,TOTAL,1000HAB,2.5,84463,2009,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
AE,,,24.0,54.0,TOTAL,1000HAB,1.1,9141596,2012,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
AR,,,-34.0,-64.0,TOTAL,1000HAB,4.7,41733271,2012,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
AM,,,40.0,45.0,TOTAL,1000HAB,3.9,2884229,2012,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
AG,,,17.05,-61.8,TOTAL,1000HAB,2.1,89253,2011,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
AU,,,-27.0,133.0,TOTAL,1000HAB,3.9,22031750,2010,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
AT,,,47.33,13.33,TOTAL,1000HAB,7.6,8391643,2011,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
AZ,,,40.5,47.5,TOTAL,1000HAB,4.7,9295784,2012,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
BI,,,-3.5,30.0,TOTAL,1000HAB,1.9,8958406,2011,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
BE,,,50.83,4.0,TOTAL,1000HAB,6.5,11106932,2012,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
BJ,,,9.5,2.25,TOTAL,1000HAB,0.5,9199259,2010,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
BF,,,13.0,-2.0,TOTAL,1000HAB,0.4,15605217,2010,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
BD,,,24.0,90.0,TOTAL,1000HAB,0.6,149273778,2011,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
BG,,,43.0,25.0,TOTAL,1000HAB,6.4,7348328,2011,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
BH,,,26.0,50.55,TOTAL,1000HAB,2.1,1299943,2012,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
BS,,,24.25,-76.0,TOTAL,1000HAB,2.9,359577,2011,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
BA,,,44.0,18.0,TOTAL,1000HAB,3.5,3705472,2010,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
BY,,,53.0,28.0,TOTAL,1000HAB,11.3,9473172,2011,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
BZ,,,17.25,-88.75,TOTAL,1000HAB,1.1,338000,2012,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
BM,,,32.33,-64.75,TOTAL,1000HAB,6.3000001910000005,60129,1996,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
BO,,,-17.0,-65.0,TOTAL,1000HAB,1.1,10377676,2012,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
BR,,,-10.0,-55.0,TOTAL,1000HAB,2.3,199300000,2012,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
BB,,,13.17,-59.53,TOTAL,1000HAB,6.2,283700,2012,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
BN,,,4.5,114.67,TOTAL,1000HAB,2.8,398989,2012,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
BT,,,27.5,90.5,TOTAL,1000HAB,1.8,701583,2012,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
BW,,,-22.0,24.0,TOTAL,1000HAB,1.8,1987105,2010,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
CF,,,7.0,21.0,TOTAL,1000HAB,1.0,4418636,2011,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
