country,state,county,lat,lng,type,measure,beds,population,year,source,source_url
AD,,,42.5,1.5,ICU,1000HAB,0.071,83747,2011,icm-journal,https://link.springer.com/article/10.1007/s00134-012-2627-8
AD,,,42.5,1.5,TOTAL,1000HAB,2.5,84463,2009,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
AE,,,24.0,54.0,TOTAL,1000HAB,1.2,9197910,2013,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
AF,,,33.0,65.0,TOTAL,1000HAB,0.5,34413603,2015,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
AG,,,17.05,-61.8,TOTAL,1000HAB,3.8,92562,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
AL,,,41.0,20.0,TOTAL,1000HAB,2.9,2895092,2013,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
AM,,,40.0,45.0,TOTAL,1000HAB,4.2,2925553,2015,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
AO,,,-12.5,18.5,TOTAL,1000HAB,0.8,19433602,2005,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
AR,,,-34.0,-64.0,TOTAL,1000HAB,5.0,42669500,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
AT,,,47.33,13.33,ACUTE,1000HAB,5.45,8797566,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
AT,,,47.33,13.33,ICU,1000HAB,0.218,8375000,2011,icm-journal,https://link.springer.com/article/10.1007/s00134-012-2627-8
AT,,,47.33,13.33,PSYCHIATRIC,1000HAB,0.61,8797566,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
AT,,,47.33,13.33,TOTAL,1000HAB,7.37,8797566,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
AU,,,-27.0,133.0,PSYCHIATRIC,1000HAB,0.42,24190907,2016,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
AU,,,-27.0,133.0,TOTAL,1000HAB,3.84,24190907,2016,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
AZ,,,40.5,47.5,TOTAL,1000HAB,4.7,9416801,2013,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
BA,,,44.0,18.0,TOTAL,1000HAB,3.5,3542605,2013,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
BB,,,13.17,-59.53,TOTAL,1000HAB,5.8,284825,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
BD,,,24.0,90.0,ICU,1000HAB,0.007,159700000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
BD,,,24.0,90.0,TOTAL,1000HAB,0.8,156256276,2015,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
BE,,,50.83,4.0,ACUTE,1000HAB,4.98,11433256,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
BE,,,50.83,4.0,ICU,1000HAB,0.159,11000000,2011,icm-journal,https://link.springer.com/article/10.1007/s00134-012-2627-8
BE,,,50.83,4.0,PSYCHIATRIC,1000HAB,1.36,11433256,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
BE,,,50.83,4.0,TOTAL,1000HAB,5.64,11433256,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
BF,,,13.0,-2.0,TOTAL,1000HAB,0.4,15605217,2010,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
BG,,,43.0,25.0,ACUTE,1000HAB,6.1682,7075947,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
BG,,,43.0,25.0,ICU,1000HAB,0.122,7369000,2011,icm-journal,https://link.springer.com/article/10.1007/s00134-012-2627-8
BG,,,43.0,25.0,TOTAL,1000HAB,6.8,7265115,2013,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
BH,,,26.0,50.55,TOTAL,1000HAB,2.0,1336075,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
BI,,,-3.5,30.0,TOTAL,1000HAB,0.8,9844297,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
BJ,,,9.5,2.25,TOTAL,1000HAB,0.5,9199259,2010,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
